der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати | Redundanzen in der Datenbank müssen wir unbedingt vermeiden.
wettbewerbsfähig	competitive / конкурентоспроможний | Um wettbewerbsfähig zu bleiben, müssen wir KI in unsere Produkte integrieren.
der Zusammenbau (Sg.)	assembly / складання, монтаж | Der Zusammenbau der neuen Server dauerte den ganzen Tag.
etw. zusammenbauen (baut zusammen, baute zusammen, hat zusammengebaut)	to assemble / збирати, монтувати | Der IT-Techniker muss den neuen PC zusammenbauen.
die Zuverlässigkeit (Sg.)	reliability / надійність | Die Zuverlässigkeit unseres Backends liegt bei 99,9 Prozent.
die Arbeitsfläche, -n	workspace, work surface / робоча поверхня | Bitte halten Sie Ihre Arbeitsfläche im Büro sauber.
etw. auslösen (z. B. Krankheiten) (löst aus, löste aus, hat ausgelöst)	to trigger (e.g. diseases) / викликати, провокувати | Ein Fehler im Code kann einen Systemausfall auslösen.
die Bakterie, -n	bacterium / бактерія | Auf Tastaturen sammeln sich oft viele Bakterien.
das Desinfektionsmittel, -	disinfectant / дезінфікуючий засіб | Im Büro-Eingang steht ein Spender mit Desinfektionsmittel.
etw. desinfizieren (desinfiziert, desinfizierte, hat desinfiziert)	to disinfect / дезінфікувати | Du solltest dein Smartphone regelmäßig desinfizieren.
die Dienstkleidung, -en	workwear, uniform / робочий одяг, уніформа | In unserem Startup gibt es keine Dienstkleidung, nur einen lockeren Dresscode.
der Einmalhandschuh, -e	disposable glove / одноразова рукавичка | Für den Austausch der Druckerpatrone nutze ich einen Einmalhandschuh.
etw./jdn. einseifen (seift ein, seifte ein, hat eingeseift)	to soap, to lather / намилювати | Man soll sich die Hände 20 Sekunden lang gut einseifen.
das Fieberthermometer, -	clinical thermometer / медичний термометр | Das smarte Fieberthermometer synchronisiert die Daten mit unserer App.
der Fingernagel, "-	fingernail / ніготь | Die Software analysiert Bilder vom Fingernagel für medizinische Diagnosen.
fließendes Wasser	running water / проточна вода | Waschen Sie die Hände mit Seife unter fließendem Wasser.
der Funktionsraum, "-e	utility room, functional room / технічне приміщення | Der Serverraum ist der wichtigste Funktionsraum im Gebäude.
etw./jdn. gefährden (gefährdet, gefährdete, hat gefährdet)	to endanger / наражати на небезпеку | Ein offener Port kann das gesamte Firmennetzwerk gefährden.
die Hygiene (Sg.)	hygiene / гігієна | Gute Cyber-Hygiene schützt vor Hackerangriffen.
der Hygienebeauftragte, -n / die Hygienebeauftragte, -n	hygiene officer / відповідальний за гігієну | Der Hygienebeauftragte hat neue Corona-Regeln für das Büro erstellt.
der Hygieneplan, "-e	hygiene plan / план санітарних заходів | Der Hygieneplan schreibt vor, dass die Tische täglich gereinigt werden.
die Infektion, -en	infection / інфекція | Unsere Health-App warnt Nutzer vor einer möglichen Infektion.
etw. kontaminieren (kontaminiert, kontaminierte, hat kontaminiert)	to contaminate / забруднювати, заражати | Ein fehlerhaftes Skript hat unsere Datenbank kontaminiert.
der Krankheitserreger, -	pathogen, germ / збудник хвороби | Wir entwickeln Software, die DNA von Krankheitserregern analysiert.
die Pandemie, -n	pandemic / пандемія | Während der Pandemie sind viele Entwickler ins Homeoffice gewechselt.
der Pflegebereich, -e	care sector / сфера догляду | Wir schreiben sichere Software für Krankenhäuser und den Pflegebereich.
die Pflegekraft, "-e	nurse, caregiver / медпрацівник, доглядальник | Die App hilft der Pflegekraft, Patientendaten schneller zu erfassen.
die Sanitäreinrichtung, -en	sanitary facility / санітарний вузол | Die Sanitäreinrichtungen im Büro wurden frisch renoviert.
etw./jdn. schützen vor (+ Dat.) (schützt, schützte, hat geschützt)	to protect from / захищати від | Die Firewall soll uns vor DDoS-Angriffen schützen.
der Stuhl (Sg.)	stool (medical) / chair / випорожнення (мед.) / стілець | Das medizinische Labor untersucht den Stuhl des Patienten digital.
die Übertragung, -en	transmission, transfer / передача (даних/інфекції) | Die Übertragung der Daten erfolgt verschlüsselt über HTTPS.
der Urin, -e	urine / сеча | Die smarte Toilette kann den Urin automatisch analysieren.
die Verbreitung, -en	spread, distribution / поширення | Wir wollen die Verbreitung unserer Open-Source-Software fördern.
etw. verhindern (verhindert, verhinderte, hat verhindert)	to prevent / запобігати, перешкоджати | Regelmäßige Updates verhindern, dass das System gehackt wird.
das Virus, Viren	virus / вірус (комп'ютерний або біологічний) | Das Antivirenprogramm hat ein gefährliches Virus blockiert.
der Zwischenraum, "-e	gap, space between / проміжок, зазор | Im Zwischenraum der Tastatur sammelt sich viel Staub.
angespannt	tense / напружений | Die Stimmung vor dem wichtigen Release ist sehr angespannt.
anregend	stimulating, inspiring / надихаючий, стимулюючий | Das Gespräch mit dem Software-Architekten war sehr anregend.
das Arbeitsklima (Sg.)	working atmosphere / робочий клімат | Das Arbeitsklima in unserem Team ist wirklich großartig.
die Atmosphäre (Sg.)	atmosphere / атмосфера | In IT-Startups herrscht oft eine sehr lockere Atmosphäre.
Aufgaben erfüllen (erfüllt, erfüllte, hat erfüllt)	to fulfill tasks / виконувати завдання | Ein Algorithmus muss genau definierte Aufgaben erfüllen.
ausführlich	detailed, extensive / детальний, докладний | Bitte schreibe einen ausführlichen Kommentar zu diesem Code.
befreiend	liberating / визвольний, такий, що приносить полегшення | Es war sehr befreiend, diesen uralten Code endlich zu löschen.
etw./jdn. beurteilen (beurteilt, beurteilte, hat beurteilt)	to assess, to judge / оцінювати, судити | Im Code Review beurteilen wir die Qualität der Lösung.
etw. bewerten (bewertet, bewertete, hat bewertet)	to evaluate, to rate / оцінювати | Wie würden Sie Ihre eigenen React-Kenntnisse bewerten?
ehrlich	honest(ly) / чесний | Sei ehrlich, wenn du einen Bug nicht selbst fixen kannst.
einfühlsam	empathetic, sensitive / чуйний | Ein guter Scrum Master reagiert einfühlsam auf Teamprobleme.
emotional	emotional / емоційний | Bitte bleibt bei Diskussionen über Architektur sachlich, nicht emotional.
ernst	serious(ly) / серйозний | Das ist ein sehr ernstes Sicherheitsproblem (Security Issue).
etw. erreichen (erreicht, erreichte, hat erreicht)	to achieve, to reach / досягати | Zusammen können wir das Ziel des Sprints erreichen.
etw. zur Diskussion stellen (stellt, stellte, hat gestellt)	to put up for discussion / винести на обговорення | Ich möchte dieses neue Datenbank-Modell zur Diskussion stellen.
Feedback geben (gibt, gab, hat gegeben)	to give feedback / давати зворотний зв'язок | Beim Pair-Programming können wir uns direkt Feedback geben.
das Feedback, -s	feedback / зворотний зв'язок | Das Feedback der Nutzer zur neuen Version war sehr positiv.
Fragen stellen (stellt, stellte, hat gestellt)	to ask questions / ставити запитання | Zögern Sie nicht, im Interview technische Fragen zu stellen.
die Führungskraft, "-e	manager, executive / керівник | Unser CTO ist eine sehr erfahrene Führungskraft.
die Gelegenheit ergreifen (ergreift, ergriff, hat ergriffen)	to seize the opportunity / скористатися нагодою | Er sollte die Gelegenheit ergreifen und Lead Developer werden.
harmonisch	harmonious / гармонійний | Die Zusammenarbeit im Frontend-Team verläuft sehr harmonisch.
hitzig	heated (argument) / палкий, гарячий | Es gab eine hitzige Debatte über Tabs vs. Spaces.
in Wut geraten (gerät, geriet, ist geraten)	to fly into a rage, to get angry / розлютитися | Du darfst nicht in Wut geraten, wenn dein Code abgelehnt wird.
klärend	clarifying / прояснюючий | Nach dem Konflikt hatten wir ein klärendes Gespräch.
kollegial	cooperative, collegial / товариський, колегіальний | Wir haben ein sehr kollegiales Verhältnis im Büro.
die Kooperationsfähigkeit (Sg.)	ability to cooperate / здатність до співпраці | Kooperationsfähigkeit ist das Wichtigste bei Scrum.
Kritik üben (übt, übte, hat geübt)	to criticize / критикувати | Man darf Kritik üben, aber sie muss immer konstruktiv sein.
die Kundenorientierung (Sg.)	customer orientation / клієнтоорієнтованість | Die Kundenorientierung steht bei der Entwicklung unseres UIs im Fokus.
locker	relaxed, casual / розслаблений, невимушений | Der Tech-Talk am Freitag ist immer sehr locker.
offen	open / відкритий | Wir pflegen eine sehr offene Feedback-Kultur im Startup.
Protokoll führen (führt, führte, hat geführt)	to take minutes/notes / вести протокол | Wer wird im heutigen Meeting das Protokoll führen?
die Rückmeldung, -en	feedback, response / відповідь, відгук | Ich habe noch keine Rückmeldung auf meinen Pull Request.
Vereinbarungen treffen (trifft, traf, hat getroffen)	to make agreements / укладати угоди, домовлятися | Wir müssen klare Vereinbarungen über die API-Schnittstelle treffen.
das Verhalten (Sg.)	behavior / поведінка | Das asynchrone Verhalten von JavaScript ist anfangs verwirrend.
vertraulich	confidential / конфіденційний | Kundendaten müssen immer absolut vertraulich behandelt werden.
das Zielvereinbarungsgespräch, -e	target agreement discussion / розмова про встановлення цілей | Im Zielvereinbarungsgespräch legen wir meine Boni für das Jahr fest.
zur Sprache kommen (kommt, kam, ist gekommen)	to come up for discussion / бути обговореним, підніматися (про питання) | Die schlechte Server-Performance muss heute im Meeting zur Sprache kommen.
die (stationäre) Altenpflege (Sg.)	inpatient elder care / догляд за літніми людьми | Wir entwickeln eine Verwaltungs-Software für die Altenpflege.
die Arbeitsbelastung, -en	workload / робоче навантаження | Die Arbeitsbelastung ist kurz vor dem Release sehr hoch.
etw. ausgleichen (gleicht aus, glich aus, hat ausgeglichen)	to balance out, to compensate / урівноважувати, компенсувати | Mit Freizeitausgleich können wir Überstunden ausgleichen.
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt)	to negotiate / вести переговори, домовлятися | Wir müssen mit dem Kunden eine neue Deadline aushandeln.
belastend	burdensome, stressful / обтяжливий, стресовий | Ständige Server-Ausfälle sind sehr belastend für das DevOps-Team.
berechtigt	justified, authorized / обґрунтований, виправданий | Die Kritik am langsamen Ladebildschirm ist völlig berechtigt.
die Betriebsvereinbarung, -en	company agreement / корпоративна угода | Homeoffice ist bei uns durch eine Betriebsvereinbarung geregelt.
etw. bewilligen (bewilligt, bewilligte, hat bewilligt)	to approve, to grant / схвалювати, давати дозвіл | Der Chef hat mein Budget für die AWS-Zertifizierung bewilligt.
destruktiv	destructive / деструктивний | Destruktive Kommentare im Code Review helfen niemandem weiter.
die Einschätzung, -en	assessment, evaluation / оцінка, думка | Teilst du meine Einschätzung, dass diese Datenbank zu langsam ist?
sich einschleichen (z. B. ein Fehler hat sich eingeschlichen) (schleicht sich ein, schlich sich ein, hat sich eingeschlichen)	to creep in / закрадатися (напр., помилка) | Nach dem Refactoring hat sich leider ein kleiner Fehler eingeschlichen.
die Entlastung, -en	relief / розвантаження, полегшення | Automatisierte Tests bringen eine enorme Entlastung für das QA-Team.
die Fachkraft, "-e	skilled worker, professional / кваліфікований спеціаліст | Senior Entwickler sind stark gefragte IT-Fachkräfte.
jdm. sind die Hände gebunden	one's hands are tied / руки зв'язані | Ich kann das Update nicht machen, mir sind ohne Admin-Rechte die Hände gebunden.
gehetzt	rushed, harried / загнаний, поспішний | Wenn man Code gehetzt schreibt, macht man viele Fehler.
der Gesundheitsschutz (Sg.)	health protection / охорона здоров'я | Ergonomische Stühle sind wichtig für den Gesundheitsschutz im IT-Büro.
der Heimleiter, - / die Heimleiterin, -nen	care home manager / керівник інтернату | Der Heimleiter schult sein Personal auf unser neues IT-System.
die Leistungsgrenze (Sg.)	performance limit / межа продуктивності | Der alte Server ist gestern an seine Leistungsgrenze gestoßen.
machtlos	powerless / безсилий | Wenn der Cloud-Provider down ist, sind wir leider komplett machtlos.
die Mehrarbeit (Sg.)	extra work, overtime / наднормова робота | Die Mehrarbeit am Wochenende wird finanziell gut vergütet.
peinlich	embarrassing / незручний, соромно | Es ist peinlich, wenn die App bei der Präsentation abstürzt.
der Personalmangel (Sg.)	staff shortage / нестача персоналу | Wegen des Personalmangels suchen wir dringend neue Entwickler.
sachlich	objective, factual / об'єктивний | Lass uns das Architektur-Problem ganz sachlich analysieren.
der Tadel, -	reprimand, blame / догана, осуд | Für diesen kritischen Fehler gab es einen Tadel vom CTO.
jdm. etw. übel nehmen (nimmt, nahm, hat genommen)	to take offense at, to resent / ображатися на когось | Nimm mir die strenge Code-Kritik bitte nicht übel.
unangenehm	unpleasant / неприємний | Ein Gespräch über eine Gehaltserhöhung ist oft unangenehm.
etw. verbergen (verbirgt, verbarg, hat verborgen)	to hide, to conceal / приховувати | Du solltest deine Fehler im Code niemals vor dem Team verbergen.
versehentlich	accidentally, by mistake / випадково | Ich habe versehentlich die Produktions-Datenbank gelöscht!
etw./jdn. zurückweisen (weist zurück, wies zurück, hat zurückgewiesen)	to reject / відхиляти | Der Senior Developer musste meinen Pull Request leider zurückweisen.
sich etw. abgewöhnen (gewöhnt sich ab, gewöhnte sich ab, hat sich abgewöhnt)	to break the habit of / відвикати | Ich muss mir abgewöhnen, ohne Unit-Tests zu pushen.
sich bemühen um (+ Akk.) (bemüht sich, bemühte sich, hat sich bemüht)	to strive for, to make an effort / намагатися, докладати зусиль | Ich werde mich bemühen, den Bug bis morgen zu beheben.
die Beziehung, -en	relationship / відносини, зв'язок | Wir haben eine sehr gute Beziehung zu unseren B2B-Kunden.
etw. erforschen (erforscht, erforschte, hat erforscht)	to research, to explore / досліджувати | Wir müssen erst erforschen, warum die Server-Last plötzlich ansteigt.
halten von (+ Dat.) (hält, hielt, hat gehalten)	to think of (an opinion) / бути якоїсь думки про щось | Was hältst du von dem neuen JavaScript-Framework?
die Ich-Botschaft, -en	"I" message / "я-повідомлення" | Kommuniziere Kritik besser als Ich-Botschaft ("Ich finde das schwer lesbar").
klingen (klingt, klang, hat geklungen)	to sound / звучати | Dein Plan für die Datenmigration klingt sehr gut.
nachgiebig	yielding, compliant / поступливий | Bei Sicherheitsfragen dürfen wir auf keinen Fall nachgiebig sein.
rotsehen (sieht rot, sah rot, hat rotgesehen)	to see red, to lose one's temper / розлютитися (побачити червоне) | Wenn jemand meinen Code ohne zu fragen ändert, könnte ich rotsehen.
sanft	gentle, soft / м'який, ніжний | Der Übergang (Animation) im UI sollte fließend und sanft sein.
schädlich für (+ Akk.)	harmful to / шкідливий для | Micro-Management ist sehr schädlich für die Motivation der Entwickler.
das Tabu, -s	taboo / табу | Passwörter im Code (Hardcoding) sind ein absolutes Tabu.
ungewohnt	unusual, unfamiliar / незвичний | Die Syntax von Python war für mich am Anfang etwas ungewohnt.
verständnisvoll	understanding, sympathetic / тямущий, з розумінням | Mein Teamlead reagierte sehr verständnisvoll auf meine Krankheit.
wahnsinnig	crazy, insane(ly) / божевільний, неймовірно | Die neuen M3-Chips von Apple sind wahnsinnig schnell.
sich zurückziehen von (+ Dat.) (zieht sich zurück, zog sich zurück, hat sich zurückgezogen)	to withdraw from / відсторонятися, відступати | Man darf sich nach Kritik nicht sofort aus dem Team zurückziehen.
der Ablauf, "-e	process, sequence / процес, хід | Wir müssen den Ablauf des Software-Deployments optimieren.
etw. abwägen (wägt ab, wog ab, hat abgewogen)	to weigh up, to consider / зважувати, обмірковувати | Wir müssen die Vor- und Nachteile der neuen API abwägen.
die Arbeitsbedingung, -en	working condition / умова праці | Flexible Arbeitsbedingungen sind sehr wichtig für Entwickler.
der Aspekt, -e	aspect / аспект | Datensicherheit ist ein wichtiger Aspekt beim Cloud-Computing.
die Auftragsabwicklung, -en	order processing / обробка замовлення | Die App automatisiert die komplette Auftragsabwicklung für den Shop.
der Baustoff, -e	building material / будівельний матеріал | Wir programmieren eine Logistik-Software für Baustoffe.
etw./jdm. Beachtung schenken	to pay attention to / приділяти увагу | Wir müssen dem Feedback der User mehr Beachtung schenken.
etw. benötigen (benötigt, benötigte, hat benötigt)	to need, to require / потребувати | Wir benötigen mehr RAM für diesen Datenbank-Server.
etw. berücksichtigen (berücksichtigt, berücksichtigte, hat berücksichtigt)	to consider, to take into account / враховувати | Bitte berücksichtigen Sie die Ladezeiten beim mobilen Webdesign.
etw. beschaffen (beschafft, beschaffte, hat beschafft)	to procure, to obtain / діставати, закуповувати | Die IT-Abteilung muss dringend neue Monitore beschaffen.
die Beschaffung (Sg.)	procurement / закупівля, придбання | Die Beschaffung der neuen Server-Hardware dauert drei Wochen.
der Beschaffungsmarkt, "-e	procurement market / ринок закупівель | Der Beschaffungsmarkt für Mikrochips ist aktuell sehr angespannt.
die Bestandsaufnahme, -n	inventory, taking stock / інвентаризація, оцінка стану | Wir machen eine Bestandsaufnahme unserer Software-Lizenzen.
das CAD-Programm, -e	CAD program / САПР (система автоматизованого проектування) | Der Ingenieur nutzt ein CAD-Programm für das 3D-Modell.
der Einfluss, "-e	influence / вплив | Der Lead Developer hat großen Einfluss auf die IT-Architektur.
Einfluss haben auf (+ Akk.)	to have an influence on / мати вплив на | Die Server-Auslastung hat direkten Einfluss auf die Ladezeit der App.
etw. einkalkulieren (kalkuliert ein, kalkulierte ein, hat einkalkuliert)	to factor in, to take into account / враховувати (у розрахунках) | Wir müssen Pufferzeit für Bugfixes einkalkulieren.
erforderlich	required, necessary / необхідний | Zwei-Faktor-Authentifizierung (2FA) ist für Admins erforderlich.
die Fachmesse, -n	trade fair / спеціалізована виставка | Wir stellen unser Produkt auf der IT-Fachmesse vor.
das Fertighaus, "-er	prefabricated house / збірний будинок | Unser Kunde baut Smart-Home-Systeme für Fertighäuser.
die Fertighausfirma, -firmen	prefabricated house company / компанія-виробник збірних будинків | Die Fertighausfirma nutzt unsere VR-Software für ihre Kunden.
das Gartengerät, -e	garden tool / садовий інструмент | Die App steuert smarte Gartengeräte wie Mähroboter.
geeignet	suitable / підходящий, придатний | Python ist sehr geeignet für Data Science und Machine Learning.
global	global / глобальний | Wir arbeiten in einem globalen Entwickler-Team.
die Globalisierung (Sg.)	globalization / глобалізація | Durch die Globalisierung können wir Tech-Talente weltweit einstellen.
das Gut, "-er	good, commodity, asset / товар, майно | Daten sind das wertvollste Gut in der modernen Wirtschaft.
der Konkurrenzdruck (Sg.)	competitive pressure / конкурентний тиск | Der Konkurrenzdruck im E-Commerce-Bereich ist enorm hoch.
die Lagerkapazität, -en	storage capacity / місткість складу, ємність сховища | Wir müssen die Lagerkapazität unserer Cloud-Datenbank erweitern.
die Liefersicherheit (Sg.)	delivery reliability, security of supply / надійність постачання | Liefersicherheit bei Hardware-Komponenten ist wichtig für das Rechenzentrum.
massiv	massive(ly) / масивний, масштабний | Wir haben massive Probleme mit dem neuen Server-Deployment.
das Material, -ien	material / матеріал | Wir bestellen neues Material für den 3D-Drucker.
die Menge, -n	amount, quantity / кількість, обсяг | Das Python-Skript muss eine riesige Menge an Daten verarbeiten.
die Produktionsunterbrechung, -en	production interruption, downtime / переривання виробництва, простій | Ein Serverausfall führt zu einer teuren Produktionsunterbrechung.
das Rohmaterial, -ien	raw material / сировина | Unstrukturierte Daten sind das Rohmaterial für KI-Modelle.
sorgen für (+ Akk.) (sorgt, sorgte, hat gesorgt)	to ensure, to take care of / піклуватися про, забезпечувати | Der Load Balancer sorgt für eine stabile Server-Performance.
das Steuerbüro, -s	tax consultancy/office / податкове бюро | Unsere Buchhaltungs-Software wird von vielen Steuerbüros genutzt.
die Umweltpolitik (Sg.)	environmental policy / екологічна політика | Green IT ist ein wichtiger Teil unserer Unternehmens-Umweltpolitik.
vertraut sein mit (+ Dat.) (ist, war, ist gewesen)	to be familiar with / бути обізнаним з | Bist du mit der Architektur der AWS-Cloud vertraut?
der Zeichentisch, -e	drawing board, drafting table / креслярський стіл | Das Architektur-Startup ersetzt den analogen Zeichentisch durch VR.
die Zollbestimmung, -en	customs regulation / митне правило | Beim Import der Server aus den USA müssen wir Zollbestimmungen beachten.
Angebote einholen (holt ein, holte ein, hat eingeholt)	to get/obtain quotes / отримувати пропозиції (цінові) | Wir müssen Angebote von drei verschiedenen Cloud-Providern einholen.
der Ansprechpartner, - / die Ansprechpartnerin, -nen	contact person / контактна особа | Er ist mein technischer Ansprechpartner für die API-Integration.
jdn. auffordern (fordert auf, forderte auf, hat aufgefordert)	to request, to ask / закликати, вимагати | Das System wird den User auffordern, sein Passwort zu ändern.
aufmerksam machen auf (+ Akk.) (macht, machte, hat gemacht)	to draw attention to / звертати увагу на | Ich möchte das Team auf einen kritischen Bug im Code aufmerksam machen.
die Auftragsvergabe, -n	award of contract, order placement / розміщення замовлення, укладання контракту | Die Auftragsvergabe für das neue CRM-System erfolgt nächste Woche.
etw. ausrichten (richtet aus, richtete aus, hat ausgerichtet)	to pass on (a message) / передавати (повідомлення) | Können Sie dem IT-Leiter bitte ausrichten, dass ich das Ticket gelöst habe?
etw. entgegennehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen)	to receive, to accept / приймати (замовлення, дзвінок) | Unser Support-Team wird die Fehlermeldungen der User entgegennehmen.
entscheidend	crucial, decisive / вирішальний | Skalierbarkeit ist ein entscheidender Faktor für unsere neue App.
jdn. hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen)	to point out to / вказувати комусь на щось | Der Linter wird den Entwickler automatisch auf Syntaxfehler hinweisen.
das Kriterium, Kriterien	criterion / критерій | Server-Performance ist das wichtigste Kriterium bei der Provider-Wahl.
die Lieferfrist, -en	delivery deadline, time for delivery / термін доставки | Die Lieferfrist für die neuen Firmen-Laptops beträgt zwei Wochen.
maßgeblich	significant, decisive / визначальний, істотний | Ihre Architektur-Entscheidung war maßgeblich für den Projekterfolg.
die Prokura (Sg.)	commercial power of attorney / довіреність (на право підпису) | Der CTO hat Prokura und darf Software-Lizenzen selbstständig kaufen.
das Türschloss, "-er	door lock / дверний замок | Wir entwickeln eine Smartphone-App für ein smartes Türschloss.
verbinden mit (+ Dat.) (verbindet, verband, hat verbunden)	to connect with / з'єднувати з | Bitte verbinden Sie mich telefonisch mit dem IT-Support.
verbindlich	binding, obligatory / обов'язковий (до виконання), зобов'язуючий | Das Kostenangebot für das Software-Projekt ist rechtlich verbindlich.
jdn. verweisen auf (+ Akk.) (verweist, verwies, hat verwiesen)	to refer to / відсилати до (когось/чогось) | Bei Login-Problemen verweisen wir die User auf unsere FAQ-Seite.
der Wettbewerber, -	competitor / конкурент | Unser größter Wettbewerber hat gestern ein ähnliches Feature gelauncht.
die Zusicherung, -en	assurance, guarantee / запевнення, гарантія | Wir brauchen eine schriftliche Zusicherung für die Datensicherheit (DSGVO).
der Abzug, "-e	deduction / відрахування, знижка | Nach Abzug der Steuern bleibt ein gutes Netto-Gehalt für Entwickler.
der Akku, -s	battery / акумулятор | Der Akku meines neuen MacBooks hält beim Coden fast 10 Stunden.
ein Angebot unterbreiten (unterbreitet, unterbreitete, hat unterbreitet)	to submit an offer/quote / робити/надавати пропозицію | Wir werden dem Kunden heute ein Angebot für die Webentwicklung unterbreiten.
etw. anlegen (z. B. einen Garten) (legt an, legte an, hat angelegt)	to create, to set up / створювати (напр. базу даних, обліковий запис) | Ich muss einen neuen User-Account in der Datenbank anlegen.
enthalten (enthält, enthielt, hat enthalten)	to contain, to include / містити в собі | Das neue Software-Update wird viele wichtige Sicherheits-Patches enthalten.
der Ersatzakku, -s	spare battery / запасний акумулятор | Ich nehme einen Ersatzakku für den Laptop auf die Dienstreise mit.
der Erstauftrag, "-e	initial order / перше замовлення | Für unseren Erstauftrag haben wir eine kleine Landingpage entwickelt.
sich erweisen als (erweist sich, erwies sich, hat sich erwiesen)	to turn out to be, to prove to be / виявлятися (кимось/чимось) | Das neue React-Framework hat sich als sehr performant erwiesen.
der Folgeauftrag, "-e	follow-up order / наступне/повторне замовлення | Nach dem guten MVP-Release haben wir direkt einen Folgeauftrag bekommen.
die Funktionsfähigkeit (Sg.)	functionality, operability / функціональність, працездатність | Die QA testet die Funktionsfähigkeit der neuen App intensiv.
die Gebrauchsweise (Sg.)	method of use, instructions for use / спосіб використання | Die Gebrauchsweise unserer API ist in der Dokumentation beschrieben.
die Gesamtbestellung (Sg.)	total order / загальне замовлення | Die Gesamtbestellung für die Server-Hardware kostet 50.000 Euro.
der Gesamtpreis, -e	total price / загальна вартість | Der Gesamtpreis für das Software-Projekt liegt genau im Budget.
kostengünstig	cost-effective, cheap / вигідний за ціною, недорогий | AWS bietet auch sehr kostengünstige Speicherlösungen (S3) an.
die Marktchancen (Pl.)	market opportunities / ринкові можливості | Die Marktchancen für KI-basierte Tools sind aktuell riesig.
nachteilig	disadvantageous, detrimental / невигідний, шкідливий | Schlechter Code wirkt sich nachteilig auf die Server-Performance aus.
optional	optional / опціональний, необов'язковий | Die Angabe der Telefonnummer im Registrierungsformular ist optional.
der Rabatt, -e	discount / знижка | Wir gewähren Neukunden einen Rabatt von 10% auf die SaaS-Lizenzen.
der Skonto (Sg.)	cash discount / сконто (знижка за швидку оплату) | Wenn wir die Server sofort bezahlen, bekommen wir 2% Skonto.
der Sonderpreis, -e	special price / спеціальна ціна | Zum Black Friday bieten wir unsere Software zum Sonderpreis an.
standardmäßig	standard, by default / за замовчуванням, стандартно | Die Verschlüsselung der Passwörter ist im System standardmäßig aktiviert.
der Stückpreis, -e	unit price / ціна за штуку | Der Stückpreis für Firmen-Laptops sinkt bei einer Großbestellung.
einen Termin einhalten (hält ein, hielt ein, hat eingehalten)	to meet a deadline / дотримуватися терміну | Wir müssen den Termin für das Produktions-Release unbedingt einhalten.
üblicherweise	usually, typically / зазвичай | Üblicherweise deployen wir am Freitag keinen neuen Code.
die Versandkosten (Pl.)	shipping costs / вартість доставки | Beim Kauf von Hardware für über 50 Euro entfallen die Versandkosten.
vorteilig	advantageous, beneficial / вигідний, сприятливий | Eine Microservice-Architektur ist sehr vorteilig für die Skalierbarkeit.
die Zahlungsbedingungen (Pl.)	terms of payment / умови оплати | Die Zahlungsbedingungen für die Freelancer-Rechnung stehen unten.
die Zahlungsfrist, -en	payment deadline/period / строк оплати | Die Zahlungsfrist für die Server-Miete beträgt 14 Tage.
die Abnahme, -n	acceptance, approval / приймання (робіт), узгодження | Die Abnahme der neuen Software durch den Kunden erfolgt morgen.
das Abnahmeprotokoll, -e	acceptance report/protocol / акт приймання-передачі | Der Kunde muss das Abnahmeprotokoll nach dem erfolgreichen Test unterschreiben.
etw. anschauen (schaut an, schaute an, hat angeschaut)	to look at, to examine / дивитися, розглядати | Lass uns den fehlerhaften Quellcode gemeinsam anschauen (Code Review).
der Auftraggeber, - / die Auftraggeberin, -nen	client, principal, customer / замовник, клієнт | Unser Auftraggeber wünscht sich noch eine Dark-Mode-Funktion.
etw. ausführen (führt aus, führte aus, hat ausgeführt)	to execute, to perform / виконувати | Das System wird den Code sicher in einem Docker-Container ausführen.
die Bauabnahme, -n	building inspection/acceptance / приймання будівельного об'єкта | Nach der Installation der Server-Racks erfolgt die Bauabnahme im Rechenzentrum.
der Bauherr, -en / die Bauherrin, -nen	building owner/client / забудовник, власник будівлі | Der Bauherr möchte Smart-Home-Technik im ganzen Haus integrieren.
die Bauleistung, -en	construction work / будівельні роботи | Die Installation der IT-Infrastruktur gehört zur Bauleistung.
das Bauunternehmen, -	construction company / будівельна компанія | Das Bauunternehmen nutzt unsere Projektmanagement-Software.
bedauerlicherweise	unfortunately, regrettably / на жаль | Bedauerlicherweise hat der Server-Ausfall gestern einige Daten gelöscht.
etw. beseitigen (beseitigt, beseitigte, hat beseitigt)	to eliminate, to fix / усувати | Wir müssen diesen Speicher-Bug im Code sehr schnell beseitigen.
die Beseitigung (Sg.)	removal, resolution / усунення | Die Beseitigung der Sicherheitslücke hat für uns oberste Priorität.
der Eigentümer, - / die Eigentümerin, -nen	owner / власник | Wer ist der Eigentümer dieses GitHub-Repositories?
die Einweisung, -en	instruction, briefing / інструктаж | Neue Entwickler bekommen eine kurze Einweisung in unsere Git-Flows.
etw. fertigstellen (stellt fertig, stellte fertig, hat fertiggestellt)	to complete, to finish / завершувати | Wir werden das MVP (Minimum Viable Product) nächsten Monat fertigstellen.
die Fußleiste, -n	baseboard, skirting board / плінтус | Wir verlegen die Netzwerkkabel im IT-Büro sicher hinter der Fußleiste.
