die Abteilung, -en	department / відділ
die Einarbeitung (Sg.)	onboarding, training period / онбординг, введення в посаду
der Eindruck, "-e	impression / враження
das Einstellungsgespräch, -e	job interview / співбесіда (при прийомі на роботу)
die Einzelheit, -en	detail / деталь, подробиця
sich erkundigen nach (+ Dat.)	to inquire about / дізнаватися про, довідуватися
der Feierabend (Sg.)	end of the working day / кінець робочого дня
flexibel	flexible / гнучкий
gesetzlich	legal, statutory / законний, встановлений законом
die Kündigungsregelung, -en	termination rule/policy / правила звільнення (розірвання договору)
der ÖPNV (Öffentlicher Personennahverkehr) (Sg.)	public transport / громадський транспорт
der Schichtbetrieb (Sg.)	shift operation, shift work / позмінна робота
die Teambesprechung, -en	team meeting / командна нарада
der Urlaubsanspruch, "-e	leave entitlement, right to vacation / право на відпустку
(gut/schlecht) verlaufen (verläuft, verlief, ist verlaufen)	to go (well/badly) / проходити (добре/погано)
sich etw. verschaffen (z. B. einen Eindruck) (verschafft sich, verschaffte sich, hat sich verschafft)	to obtain, to gain (e.g., an impression) / здобути, отримати (напр., враження)
der Zuschuss, "-e	subsidy, grant, allowance / доплата, субсидія, допомога
etw. antreten (z. B. eine Stelle) (tritt an, trat an, hat angetreten)	to take up, to start (e.g., a job) / починати, приступати до (роботи)
etw. aushändigen (händigt aus, händigte aus, hat ausgehändigt)	to hand over / вручати, видавати auf руки
der Betriebsrat, "-e	works council / виробнича рада (представник працівників)
chaotisch	chaotic / хаотичний
der Dienstplan, "-e	roster, shift schedule / графік чергувань / роботи
etw. einplanen (plant ein, plante ein, hat eingeplant)	to schedule, to plan for / планувати, передбачати
die Einweisung, -en	instruction, briefing / інструктаж, введення в курс справи
sich erinnern an (+ Akk.) (erinnert sich, erinnerte sich, hat sich erinnert)	to remember / пам'ятати про, згадувати
die Hausordnung, -en	house rules / правила внутрішнього розпорядку
der Haustechniker, - / die Haustechnikerin, -nen	building technician, maintenance worker / технік будівлі, завгосп
der Lieferant, -en / die Lieferantin, -nen	supplier / постачальник
der Medikamentenschrank, "-e	medicine cabinet / аптечка (шафка для ліків)
der Mitarbeiterausweis, -e	employee ID card / перепустка, посвідчення працівника
die Pausenregelung, -en	break regulation / правила щодо перерв
die Personalabteilung, -en	HR department / відділ кадрів (HR)
die Pflegedienstleitung, -en	nursing management / керівництво служби догляду
der Stationsleiter, - / die Stationsleiterin, -nen	ward manager (hospital) / завідувач відділення (в лікарні)
das Unfallrisiko, -risiken	accident risk / ризик нещасного випадку
die Unterweisung, -en	instruction, training / інструктаж, навчання
das Verbandmaterial, -ien	bandage material, dressings / перев'язувальний матеріал
die Willkommensmappe, -n	welcome folder / вітальна папка (для нових співробітників)
sich zurechtfinden (findet zurecht, fand zurecht, hat zurechtgefunden)	to find one's way around, to orient oneself / орієнтуватися, розібратися
die Abschiedsfeier, -n	farewell party / прощальна вечірка
der Alarm, -e	alarm / сигналізація, тривога
der Anlass, "-e	occasion, reason / привід, нагода
das Antragsformular, -e	application form / бланк заяви
etw. aufladen (lädt auf, lud auf, hat aufgeladen)	to charge, to top up / заряджати, поповнювати
etw. aushängen (hängt aus, hing aus, hat ausgehangen)	to post (a notice) / вивішувати (оголошення)
etw. ausstellen (z. B. einen Parkausweis) (stellt aus, stellte aus, hat ausgestellt)	to issue (e.g., a parking permit) / виписувати, видавати (документ)
etw. beantragen (z. B. einen Zuschuss) (beantragt, beantragte, hat beantragt)	to apply for, to request / подавати заяву на, запитувати
betrieblich	operational, company-related / виробничий, службовий, корпоративний
der Betriebsausflug, "-e	company outing / корпоративна поїздка / екскурсія
die Betriebsrente, -n	company pension / корпоративна пенсія
die Betriebsversammlung, -en	staff meeting, company assembly / загальні збори працівників
die Betriebszugehörigkeit (Sg.)	length of service with a company / стаж роботи на підприємстві
der Betroffene, -n / die Betroffene, -n	person affected, person concerned / зацікавлена особа, постраждалий
etw. bezuschussen (bezuschusst, bezuschusste, hat bezuschusst)	to subsidize / субсидіювати, доплачувати
der Brandfall, "-e	in case of fire / випадок пожежі
die Dienstreise, -n	business trip / відрядження
eine Dienstreise antreten	to go on a business trip / відправитися у відрядження
durchschnittlich	average, on average / в середньому, середньостатистичний
das Firmengelände, -	company grounds, premises / територія компанії
der Firmenparkplatz, "-e	company car park / корпоративна парковка
ganztägig	all-day, full-day / на цілий день
die Genehmigung, -en	approval, permit / дозвіл, затвердження
die Ladestation, -en	charging station / зарядна станція
die Lautsprecheranlage, -n	public address system, PA system / система гучномовців
das Nettoeinkommen, -	net income / чистий дохід (нетто)
die Nutzung, -en	use, usage / використання
der Ruhestand (Sg.)	retirement / вихід на пенсію
die Sozialleistung, -en	social benefit / соціальна пільга / виплата
die Telefonbenutzung (Sg.)	telephone usage / користування телефоном
üblich	usual, common / звичайний, прийнятий
etw. untersagen	to prohibit, to forbid / забороняти
der Verwaltungsbereich, -e	administrative area / адміністративний відділ
die Wertsache, -n	valuable item / цінна річ
der Abstand, "-e	distance, gap / відстань, дистанція
aufdringlich	intrusive, pushy / нав'язливий
jdn. belästigen (belästigt, belästigte, hat belästigt)	to harass, to bother / турбувати, докучати
die Distanz (Sg.)	distance / дистанція
etw. einhalten (hält ein, hielt ein, hat eingehalten)	to comply with, to keep (e.g., rules/deadlines) / дотримуватися (правил, строків)
etw. empfinden (empfindet, empfand, hat empfunden)	to feel, to perceive / відчувати, сприймати
intim	intimate / інтимний, особистий
etw./jdm. nahekommen (kommt nahe, kam nahe, ist nahegekommen)	to approach, to come close to / наближатися до
das Publikum (Sg.)	audience / публіка, аудиторія
der Referent, -en / die Referentin, -nen	speaker, presenter / доповідач
etw./jdn. respektieren (respektiert, respektierte, hat respektiert)	to respect / поважати
unangenehm	unpleasant, uncomfortable / неприємний
etw./jdn. wahrnehmen (nimmt wahr, nahm wahr, hat wahrgenommen)	to perceive, to notice / сприймати, помічати
das Arbeitsklima (Sg.)	working atmosphere / робоча атмосфера
die Atmosphäre (Sg.)	atmosphere / атмосфера
ausreden (lässt ausreden, ließ ausreden, hat ausreden lassen)	to finish speaking / договорити (до кінця)
die Ausstattung, -en	equipment, facilities / обладнання, оснащення
das Beratungsgespräch, -e	consultation, advisory discussion / консультація
der Besprechungspunkt, -e	agenda item, point of discussion / пункт обговорення
der Bestseller, -	bestseller / бестселер
die Beteiligung, -en	participation / участь
dadurch, dass	due to the fact that, because / через те, що
effektiv	effective(ly) / ефективний
die Ergänzung, -en	addition, supplement / доповнення
etw. erledigen (erledigt, erledigte, hat erledigt)	to complete, to get done / виконувати
etw. festlegen (legt fest, legte fest, hat festgelegt)	to determine, to set / визначати, встановлювати
die Gelegenheit bieten (bietet, bot, hat geboten)	to offer an opportunity / надавати можливість
die Gesprächsregel, -n	rule of conversation / правило спілкування
etw. gestalten (gestaltet, gestaltete, hat gestaltet)	to design, to structure / оформлювати, структурувати
sich halten an (+ Akk.) (hält sich, hielt sich, hat sich gehalten)	to stick to, to abide by / дотримуватися (чогось)
indem	by (doing something) / тим, що / шляхом
die Klarheit, -en	clarity / ясність, чіткість
Kritik üben	to criticize / критикувати
leiten (leitet, leitete, hat geleitet)	to lead, to manage / керувати
das Meeting, -s	meeting / мітинг, зустріч
das Prospektmaterial, -ien	brochures, promotional material / рекламні матеріали
das Protokoll, -e	protocol, minutes / протокол, лог
der Stand (Sg.)	status, state / стан
die Tagesordnung, -en	agenda / порядок денний
der Tagesordnungspunkt, -e	agenda item / пункт порядку денного
die Teambesprechung, -en	team meeting / командна нарада
die Teamsitzung, -en	team meeting / командне засідання
verfassen (verfasst, verfasste, hat verfasst)	to write, to draft / складати, писати
der Verkaufsberater, - / die Verkaufsberaterin, -nen	sales consultant / продавець-консультант
abraten von (+ Dat.) (rät ab, riet ab, hat abgeraten)	to advise against / відмовляти від
abwesend	absent / відсутній
anwesend	present / присутній
die Anzeigenkampagne, -n	advertising campaign / рекламна кампанія
der Aufbau, -ten	structure, setup / структура, побудова
die Ausstellung, -en	exhibition / виставка
jdn. beauftragen (beauftragt, beauftragte, hat beauftragt)	to assign, to commission / доручати
das Beratungsprotokoll, -e	consultation protocol / протокол консультації
Druck machen (macht, machte, hat gemacht)	to put pressure on / тиснути
der Einzelhandel (Sg.)	retail / роздрібна торгівля
das Ergebnisprotokoll, -e	minutes of results / протокол рішень / результатів
das Gesprächsprotokoll, -e	minutes of a meeting / протокол бесіди
der Gesprächstermin, -e	appointment for a discussion / час бесіди, зустріч
hilfsbereit	helpful / готовий допомогти
das Messegespräch, -e	trade fair discussion / розмова на виставці
der Messestand, "-e	exhibition stand / виставковий стенд
die Möbelmesse, -n	furniture fair / меблева виставка
die Protokollführung (Sg.)	taking of minutes / ведення протоколу
der Schwerpunkt, -e	focus, main emphasis / головна увага, акцент
der Standaufbau, -ten	stand construction / монтаж стенду
der Teamleiter, - / die Teamleiterin, -nen	team leader / керівник команди
der Thermosbecher, -	thermos mug / термокружка
etw. verschenken (verschenkt, verschenkte, hat verschenkt)	to give away / дарувати
das Versuchsprotokoll, -e	test protocol/log / протокол випробування
die Vertriebsabteilung, -en	sales department / відділ збуту
das Werbegeschenk, -e	promotional gift / рекламний подарунок
das Werbevideo, -s	promotional video / рекламний ролик
aggressiv	aggressive / агресивний
etw. ansprechen (spricht an, sprach an, hat angesprochen)	to address, to bring up / піднімати питання, заговорювати про
der Arbeitsalltag (Sg.)	everyday working life / робочі будні
die Arbeitsatmosphäre (Sg.)	working atmosphere / робоча атмосфера
auswirken (wirkt sich aus, wirkte sich aus, hat sich ausgewirkt)	to affect, to have an impact / впливати, позначатися
die Auswirkung, -en	effect, impact / наслідок, вплив
etw. beilegen (z. B. einen Streit) (legt bei, legte bei, hat beigelegt)	to settle (e.g. a dispute) / владнати (напр., суперечку)
der Eindruck, "-e	impression / враження
den Eindruck haben (hat, hatte, hat gehabt)	to have the impression / мати враження
die Du-Botschaft, -en	"you" message (blaming) / "ти-повідомлення" (звинувачення)
fehlender Respekt	lack of respect / відсутність поваги
die Gemeinsamkeit, -en	similarity, common ground / спільна риса, спільність
die Ich-Botschaft, -en	"I" message / "я-повідомлення"
der Kompromiss, -e	compromise / компроміс
Kompromisse eingehen (geht ein, ging ein, ist eingegangen)	to make compromises / йти на компроміси
der Konflikt, -e	conflict / конфлікт
das Konfliktgespräch, -e	conflict resolution discussion / розмова для вирішення конфлікту
kooperativ	cooperative / схильний до співпраці, кооперативний
der Leistungsdruck (Sg.)	pressure to perform / тиск щодо продуктивності (стрес)
Lösungen erarbeiten (erarbeitet, erarbeitete, hat erarbeitet)	to develop solutions / розробляти рішення
lüften (lüftet, lüftete, hat gelüftet)	to air, to ventilate / провітрювати
die Meinungsverschiedenheit, -en	difference of opinion / розбіжність у поглядах
das Missverständnis, -se	misunderstanding / непорозуміння
etw. nachvollziehen (vollzieht nach, vollzog nach, hat nachvollzogen)	to comprehend, to understand / розуміти, осягати
der Neid (Sg.)	envy / заздрість
nervig	annoying / дратівливий, набридливий
der Respekt (Sg.)	respect / повага
die Rivalität, -en	rivalry / суперництво
sachlich	objective, factual / об'єктивний, по суті
die Spannung, -en	tension / напруга
stickig	stuffy / задушливий
die Strategie, -n	strategy / стратегія
der Streit, -igkeiten	argument, dispute / суперечка
die Überstunde, -n	overtime / понаднормова робота
die Umgangsform, -en	manner, etiquette / манера поведінки
unerträglich	unbearable / нестерпний
unpünktlich	unpunctual, late / непунктуальний
unsachlich	unobjective, biased / необ'єктивний
unter vier Augen	face-to-face, privately / віч-на-віч
etw./jdn. vergiften (z. B. die Atmosphäre) (vergiftet, vergiftete, hat vergiftet)	to poison (e.g. the atmosphere) / отруювати (напр., атмосферу)
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати
Verständnis zeigen für (+ Akk.) (zeigt, zeigte, hat gezeigt)	to show understanding for / виявляти розуміння
der Zeitdruck (Sg.)	time pressure / брак часу
die Aufnahme, -n	recording, photo, admission / знімок, запис, прийом
einen Berg besteigen (besteigt, bestieg, hat bestiegen)	to climb a mountain / підніматися на гору
die Butterbrezel, -n	butter pretzel / брецель з маслом
der Einstand (Sg.)	debut, starting a new job / початок роботи, вступ на посаду
die Einstandsfeier, -n	welcome party (for a new employee) / вечірка на честь нового співробітника
sich erholen (erholt sich, erholte sich, hat sich erholt)	to recover, to rest / відпочивати, відновлюватися
etw. genehmigen (genehmigt, genehmigte, hat genehmigt)	to approve / схвалювати, затверджувати
die Kreuzfahrt, -en	cruise / круїз
in der Regel	usually, as a rule / зазвичай
etw. stückeln (z.B. den Urlaub) (stückelt, stückelte, hat gestückelt)	to split up, to piece together / розбивати на частини (напр., відпустку)
der Urlaubsantrag, "-e	leave application, vacation request / заява на відпустку
sich aufhalten (hält sich auf, hielt sich auf, hat sich aufgehalten)	to stay, to linger / перебувати, затримуватися
etw. beklagen (beklagt, beklagte, hat beklagt)	to complain about, to lament / скаржитися на
zu einem Ergebnis kommen (kommt, kam, ist gekommen)	to come to a conclusion/result / дійти висновку / результату
das Freizeitverhalten (Sg.)	leisure behavior / проведення вільного часу
die Freizeitbeschäftigung, -en	leisure activity / заняття у вільний час
der Mittagsschlaf (Sg.)	afternoon nap / післяобідній сон
das Multitasking (Sg.)	multitasking / багатозадачність
repräsentativ	representative / репрезентативний
eine repräsentative Studie	a representative study / репрезентативне дослідження
die Stiftung, -en	foundation, charity / фонд
etw. unternehmen (unternimmt, unternahm, hat unternommen)	to undertake, to do (an activity) / робити, здійснювати (часто разом)
sich etw. vornehmen (nimmt sich vor, nahm sich vor, hat sich vorgenommen)	to plan to do sth., to resolve / планувати, задумувати
die Anweisung, -en	instruction, directive / інструкція, вказівка
das Ersatzfahrzeug, -e	replacement vehicle / підмінний автомобіль
das Ersatzteil, -e	spare part / запасна частина
das Fahrzeug, -e	vehicle / транспортний засіб
der Gebrauchtwagen, -	used car / вживаний автомобіль
die Gehaltsabrechnung, -en	payslip, salary statement / розрахунковий листок (по зарплаті)
die Inspektion, -en	inspection, maintenance / огляд, техогляд
jdn. kontaktieren (kontaktiert, kontaktierte, hat kontaktiert)	to contact sb. / зв'язуватися з кимось
der Kundenservice (Sg.)	customer service / служба підтримки клієнтів
etw. lackieren (lackiert, lackierte, hat lackiert)	to paint, to varnish / фарбувати, лакувати
der Liefertermin, -e	delivery date / дата доставки
die Lieferverzögerung, -en	delivery delay / затримка доставки
der Montagetermin, -e	assembly/installation appointment / дата монтажу / встановлення
der Neuwagen, -	new car / новий автомобіль
preisgünstig	reasonably priced, cheap / недорогий, вигідний
das Reifenlager, -	tire storage / склад шин
der Reparaturauftrag, "-e	repair order / замовлення на ремонт
der Sommerreifen, -	summer tire / літня шина
verhandeln (verhandelt, verhandelte, hat verhandelt)	to negotiate / вести переговори
vermitteln (vermittelt, vermittelte, hat vermittelt)	to mediate, to convey / посередничати, передавати
der Vertriebsleiter, - / die Vertriebsleiterin, -nen	sales manager / керівник відділу продажів
vorgehen (geht vor, ging vor, ist vorgegangen)	to proceed, to act / діяти, чинити
der Wagenpark, -s	vehicle fleet / автопарк
das Werbegeschenk, -e	promotional gift / рекламний подарунок
den Wert schätzen	to estimate the value / оцінювати вартість
der Winterreifen, -	winter tire / зимова шина
etw. anschaffen (schafft an, schaffte an, hat angeschafft)	to acquire, to purchase / купувати, придбати (обладнання)
auftauchen (taucht auf, tauchte auf, ist aufgetaucht)	to appear, to pop up / з'являтися, виникати
daher	therefore, hence / тому, з цієї причини
darum	therefore, for that reason / тому, через це
die technischen Daten (Pl.)	technical data/specifications / технічні характеристики / дані
dennoch	nevertheless, yet / тим не менш, проте
deshalb	therefore, that's why / тому, ось чому
deswegen	therefore, because of that / тому, через це
das Eigengewicht, -e	dead weight, own weight / власна вага
erforderlich	required, necessary / необхідний
folglich	consequently, as a result / отже, внаслідок цього
die Gewährleistung, -en	warranty, guarantee / гарантія (за законом)
die Geschwindigkeit, -en	speed / швидкість
die Hebebühne, -n	lifting platform, hoist / підйомник
die Hubhöhe, -n	lifting height / висота підйому
die Kaufentscheidung, -en	purchase decision / рішення про покупку
etw. lagern (lagert, lagerte, hat gelagert)	to store / зберігати
die Lieferzeit, -en	delivery time / час доставки
die Neuanschaffung, -en	new acquisition, purchase / нове придбання
das Qualitätsproblem, -e	quality problem / проблема з якістю
der Rabatt, -e	discount / знижка
die Raumhöhe, -n	room height / висота приміщення
die Tragfähigkeit, -en	load capacity / вантажопідйомність, несуча здатність
trotzdem	nevertheless, anyway / незважаючи на це, все ж
überzeugend	convincing / переконливий
die Wartung, -en	maintenance / технічне обслуговування
das Bedienungsproblem, -e	operating problem, user error / проблема з експлуатацією / використанням
etw. beheben (z. B. einen Fehler) (behebt, behob, hat behoben)	to fix, to resolve (an error) / усувати, виправляти (напр., помилку)
etw. beseitigen (beseitigt, beseitigte, hat beseitigt)	to eliminate, to remove / усувати, ліквідувати
der Defekt, -e	defect, fault / дефект, несправність
das Display, -s	display, screen / дисплей, екран
einerseits ..., andererseits ...	on the one hand ..., on the other hand ... / з одного боку ..., з іншого боку ...
die Einstellung, -en	setting / налаштування
die Elektronik (Sg.)	electronics / електроніка
etw. entkalken (entkalkt, entkalkte, hat entkalkt)	to descale / очищати від накипу
etw. erhitzen (erhitzt, erhitzte, hat erhitzt)	to heat up / нагрівати
etw. herunterladen (lädt herunter, lud herunter, hat heruntergeladen)	to download / завантажувати
je ..., desto ...	the ..., the ... / чим ..., тим ...
der Kaffeesatzbehälter, -	coffee grounds container / контейнер для кавової гущі
die Mechanik (Sg.)	mechanics / механіка
das Menü, -s	menu / меню
etw. nachfüllen (füllt nach, füllte nach, hat nachgefüllt)	to refill / поповнювати, доливати
die Programmierung, -en	programming / програмування
etw. reinigen (reinigt, reinigte, hat gereinigt)	to clean / чистити
die Reinigungstablette, -n	cleaning tablet / таблетка для чищення
etw. säubern (säubert, säuberte, hat gesäubert)	to clean / очищати
sowohl ... als auch ...	both ... and ... / як ..., так і ...
etw. starten (startet, startete, hat gestartet)	to start, to boot / запускати
der Stillstand (Sg.)	standstill, downtime / простій, зупинка
die Störung, -en	fault, malfunction, disturbance / збій, несправність
umgehend	immediately, promptly / негайно, терміново
etw. verwenden (verwendet, verwendete, hat verwendet)	to use, to apply / використовувати
etw. warten (z. B. eine Maschine) (wartet, wartete, hat gewartet)	to maintain / обслуговувати (технічно)
zwar ..., aber ...	indeed ..., but ... / хоча й ..., але ...
der (Drehmoment-)Schlüssel, -	(torque) wrench / (динамометричний) гайковий ключ
etw. abmontieren (montiert ab, montierte ab, hat abmontiert)	to dismantle, to remove / демонтувати, знімати
der Aktionstag, -e	promotional day, action day / день акції / кампанії
etw. anheben (hebt an, hob an, hat angehoben)	to lift, to raise / піднімати
der Auszubildende, -n / die Auszubildende, -n	trainee, apprentice / стажер, учень
die Autobatterie, -n	car battery / автомобільний акумулятор
der Azubi, -s / die Azubi, -s	trainee, apprentice (short form) / стажер, учень (скорочено)
die Bremsflüssigkeit (Sg.)	brake fluid / гальмівна рідина
die Drahtbürste, -n	wire brush / дротяна щітка
etw. eindrehen (dreht ein, drehte ein, hat eingedreht)	to screw in / вкручувати
etw. einfetten (fettet ein, fettete ein, hat eingefettet)	to grease, to lubricate / змащувати (жиром/мастилом)
etw. einfüllen (füllt ein, füllte ein, hat eingefüllt)	to fill in, to pour in / наливати, наповнювати
etw. einlagern (lagert ein, lagerte ein, hat eingelagert)	to store / здавати на зберігання
etw. erledigen (erledigt, erledigte, hat erledigt)	to complete, to get done / виконувати, залагоджувати
etw. festdrehen (dreht fest, drehte fest, hat festgedreht)	to tighten / закручувати, затягувати
die Fettkreide, -n	wax crayon / воскова крейда
das Frostschutzmittel, -	antifreeze / антифриз
der Kratzer, -	scratch / подряпина
Kunden aufrufen (ruft auf, rief auf, hat aufgerufen)	to call customers / викликати клієнтів
etw. lösen (löst, löste, hat gelöst)	to loosen, to solve / відкручувати (болт) / вирішувати (проблему)
die Mutter, -n	nut (hardware) / гайка
etw. nachfüllen	to refill / поповнювати, доливати
der Ölstand (Sg.)	oil level / рівень масла
etw. platzieren (platziert, platzierte, hat platziert)	to place, to position / розміщувати, розташовувати
die Probefahrt, -en	test drive / тестова поїздка
das Profil, -e	profile, tread / профіль, протектор шини
die Rabattaktion, -en	discount campaign / акція зі знижками
das Radkreuz, -e	wheel brace, lug wrench / балонний ключ
die Radnabe, -n	wheel hub / маточина колеса
der Reifendruck (Sg.)	tire pressure / тиск у шинах
das Reifenprofil, -e	tire tread / протектор шини
der Reifenwechsel, -	tire change / заміна шин
der Schlagschrauber, -	impact wrench / ударний гайковерт
die Schraube, -n	screw / гвинт, шуруп
der Wagenheber, -	car jack / домкрат
die Abgase (Pl.)	exhaust gases, emissions / вихлопні гази
autonomes Fahren	autonomous driving / автономне водіння
etw. befürworten (befürwortet, befürwortete, hat befürwortet)	to support, to advocate / підтримувати, схвалювати
das Carsharing (Sg.)	car sharing / каршерінг
das Elektroauto, -s	electric car / електромобіль
energieintensiv	energy-intensive / енергоємний
etw. erschweren (erschwert, erschwerte, hat erschwert)	to make difficult, to complicate / ускладнювати
der Individualverkehr (Sg.)	private transport / приватний транспорт
der Klimawandel (Sg.)	climate change / зміна клімату
die Lärmbelästigung (Sg.)	noise pollution / шумове забруднення
die Luftverschmutzung (Sg.)	air pollution / забруднення повітря
die Mobilität (Sg.)	mobility / мобільність
das Park-and-Ride-System (Sg.)	park and ride system / перехоплююча парковка
die Selbstverständlichkeit (Sg.)	matter of course, given / само собою зрозуміле
etw. sperren (sperrt, sperrte, hat gesперрт)	to block, to lock / блокувати
überflüssig	superfluous, unnecessary / зайвий, непотрібний
etw. überlasten (überlastet, überlastete, hat überlastet)	to overload / перевантажувати
umsteigen auf (+ Akk.) (steigt um, stieg um, ist umgestiegen)	to switch to, to change / пересідати, переходити (на інше)
umweltfreundlich	environmentally friendly / екологічний
der Verbrennungsmotor, -en	internal combustion engine / двигун внутрішнього згоряння
das Verkehrsnetz, -e	transport network / транспортна мережа
verzichten auf (+ Akk.) (verzichtet, verzichtete, hat verzichtet)	to do without, to abstain from / відмовлятися від
Vorrang haben (hat, hatte, hat gehabt)	to have priority / мати пріоритет
jdn. zwingen (zwingt, zwang, hat gezwungen)	to force, to compel / змушувати
die Bedienbarkeit (Sg.)	usability, operability / зручність використання, юзабіліті
etw./jdn. bedienen (bedient, bediente, hat bedient)	to operate, to serve / обслуговувати, керувати
benutzerfreundlich	user-friendly / зручний для користувача
die Beseitigung (Sg.)	removal, elimination / усунення, ліквідація
etw. betreiben (betreibt, betrieb, hat betrieben)	to operate, to run / експлуатувати, керувати
die Checkliste, -n	checklist / чек-лист, контрольний список
das Design, -s	design / дизайн
effizient	efficient / ефективний
etw. einstellen (stellt ein, stellte ein, hat eingestellt)	to set, to adjust, to stop / налаштовувати, припиняти
haltbar	durable, stable / міцний, довговічний
die Haltbarkeit (Sg.)	durability, shelf life / довговічність, термін придатності
das Image (Sg.)	image, reputation / імідж, репутація
die Kundenbewertung, -en	customer review / відгук клієнта
langlebig	long-lasting, durable / довговічний
der Mangel, "-	defect, lack, shortage / недолік, дефект, нестача
die Nachhaltigkeit (Sg.)	sustainability / стійкість, екологічність
das Preis-Leistungs-Verhältnis, -se	price-performance ratio / співвідношення ціни та якості
das Qualitätsmanagement (Sg.)	quality management / управління якістю
das Qualitätsmerkmal, -e	quality feature / ознака якості
die Qualitätssicherung (Sg.)	quality assurance (QA) / забезпечення якості
die Pauschalreise, -n	package holiday / туристична путівка, пакетний тур
das Regalbrett, -er	shelf board / полиця
die Sägemaschine, -n	sawing machine / пиляльний верстат
die Umweltfreundlichkeit (Sg.)	environmental friendliness / екологічність
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати
wettbewerbsfähig	competitive / конкурентоспроможний
der Zusammenbau (Sg.)	assembly / складання, монтаж
etw. zusammenbauen (baut zusammen, baute zusammen, hat zusammengebaut)	to assemble / збирати, монтувати
die Zuverlässigkeit (Sg.)	reliability / надійність
die Arbeitsfläche, -n	workspace, work surface / робоча поверхня
etw. auslösen (z. B. Krankheiten) (löst aus, löste aus, hat ausgelöst)	to trigger (e.g. diseases) / викликати, провокувати
die Bakterie, -n	bacterium / бактерія
das Desinfektionsmittel, -	disinfectant / дезінфікуючий засіб
etw. desinfizieren (desinfiziert, desinfizierte, hat desinfiziert)	to disinfect / дезінфікувати
die Dienstkleidung, -en	workwear, uniform / робочий одяг, уніформа
der Einmalhandschuh, -e	disposable glove / одноразова рукавичка
etw./jdn. einseifen (seift ein, seifte ein, hat eingeseift)	to soap, to lather / намилювати
das Fieberthermometer, -	clinical thermometer / медичний термометр
der Fingernagel, "-	fingernail / ніготь
fließendes Wasser	running water / проточна вода
der Funktionsraum, "-e	utility room, functional room / технічне приміщення
etw./jdn. gefährden (gefährdet, gefährdete, hat gefährdet)	to endanger / наражати на небезпеку
die Hygiene (Sg.)	hygiene / гігієна
der Hygienebeauftragte, -n / die Hygienebeauftragte, -n	hygiene officer / відповідальний за гігієну
der Hygieneplan, "-e	hygiene plan / план санітарних заходів
die Infektion, -en	infection / інфекція
etw. kontaminieren (kontaminiert, kontaminierte, hat kontaminiert)	to contaminate / забруднювати, заражати
der Krankheitserreger, -	pathogen, germ / збудник хвороби
die Pandemie, -n	pandemic / пандемія
der Pflegebereich, -e	care sector / сфера догляду
die Pflegekraft, "-e	nurse, caregiver / медпрацівник, доглядальник
die Sanitäreinrichtung, -en	sanitary facility / санітарний вузол
etw./jdn. schützen vor (+ Dat.) (schützt, schützte, hat geschützt)	to protect from / захищати від
der Stuhl (Sg.)	stool (medical) / chair / випорожнення (мед.) / стілець
die Übertragung, -en	transmission, transfer / передача (даних/інфекції)
der Urin, -e	urine / сеча
die Verbreitung, -en	spread, distribution / поширення
etw. verhindern (verhindert, verhinderte, hat verhindert)	to prevent / запобігати, перешкоджати
das Virus, Viren	virus / вірус (комп'ютерний або біологічний)
der Zwischenraum, "-e	gap, space between / проміжок, зазор
angespannt	tense / напружений
anregend	stimulating, inspiring / надихаючий, стимулюючий
das Arbeitsklima (Sg.)	working atmosphere / робочий клімат
die Atmosphäre (Sg.)	atmosphere / атмосфера
Aufgaben erfüllen (erfüllt, erfüllte, hat erfüllt)	to fulfill tasks / виконувати завдання
ausführlich	detailed, extensive / детальний, докладний
befreiend	liberating / визвольний, такий, що приносить полегшення
etw./jdn. beurteilen (beurteilt, beurteilte, hat beurteilt)	to assess, to judge / оцінювати, судити
etw. bewerten (bewertet, bewertete, hat bewertet)	to evaluate, to rate / оцінювати
ehrlich	honest(ly) / чесний
einfühlsam	empathetic, sensitive / чуйний
emotional	emotional / емоційний
ernst	serious(ly) / серйозний
etw. erreichen (erreicht, erreichte, hat erreicht)	to achieve, to reach / досягати
etw. zur Diskussion stellen (stellt, stellte, hat gestellt)	to put up for discussion / винести на обговорення
Feedback geben (gibt, gab, hat gegeben)	to give feedback / давати зворотний зв'язок
das Feedback, -s	feedback / зворотний зв'язок
Fragen stellen (stellt, stellte, hat gestellt)	to ask questions / ставити запитання
die Führungskraft, "-e	manager, executive / керівник
die Gelegenheit ergreifen (ergreift, ergriff, hat ergriffen)	to seize the opportunity / скористатися нагодою
harmonisch	harmonious / гармонійний
hitzig	heated (argument) / палкий, гарячий
in Wut geraten (gerät, geriet, ist geraten)	to fly into a rage, to get angry / розлютитися
klärend	clarifying / прояснюючий
kollegial	cooperative, collegial / товариський, колегіальний
die Kooperationsfähigkeit (Sg.)	ability to cooperate / здатність до співпраці
Kritik üben (übt, übte, hat geübt)	to criticize / критикувати
die Kundenorientierung (Sg.)	customer orientation / клієнтоорієнтованість
locker	relaxed, casual / розслаблений, невимушений
offen	open / відкритий
Protokoll führen (führt, führte, hat geführt)	to take minutes/notes / вести протокол
die Rückmeldung, -en	feedback, response / відповідь, відгук
