die Abteilung, -en	department / відділ | Unsere IT-Abteilung kümmert sich um die gesamte Cloud-Infrastruktur.
die sozialen Netzwerke	social networks / соціальні мережі | Viele Unternehmen nutzen soziale Netzwerke wie LinkedIn, um neue IT-Talente zu finden.
speichern	to save / зберігати | Die Anwendung muss die Benutzereinstellungen lokal im LocalStorage des Browsers speichern.
verzichten auf (+ Akk.)	to do without / відмовлятися від | Kein modernes Unternehmen kann heute mehr auf eine eigene Webseite verzichten.
die Anforderung, -en	requirement, demand / вимога | Die funktionalen Anforderungen an das System wurden in einem Lastenheft genau dokumentiert.
der Ausbildungsberuf, -e	recognized vocational profession / професія, що потребує спеціальної освіти | Fachinformatiker für Anwendungsentwicklung ist ein sehr gefragter Ausbildungsberuf.
beeinflussen	to influence / впливати | Die Wahl des Betriebssystems beeinflusst die Performance unserer Docker-Container massiv.
die Berufsaussicht, -en	career prospect / перспектива працевлаштування | Die Berufsaussichten für Experten im Bereich Cyber-Security sind derzeit exzellent.
die Digitalisierung (Sg.)	digitization / цифровізація | Die Digitalisierung interner Prozesse spart Unternehmen langfristig enorme Kosten.
die Eigenschaft, -en	property, characteristic / властивість, якість | Die wichtigste Eigenschaft eines guten Programmierers ist logisches Denkvermögen.
Erfolg haben	to have success / мати успіх | Wenn wir die User-Experience verbessern, werden wir mit unserer App sicher großen Erfolg haben.
fächerübergreifend	interdisciplinary / міждисциплінарний | Wir planen ein fächerübergreifendes Projekt zwischen der Design-Abteilung und der IT.
die Gesprächs- und Verhandlungsführung (Sg.)	conversation and negotiation management / ведення переговорів | In dem Kurs man lernt, wie man die Gesprächs- und Verhandlungsführung mit IT-Dienstleistern verbessert.
interkulturell	intercultural / міжкультурний | In globalen IT-Teams ist interkulturelle Kompetenz für eine reibungslose Zusammenarbeit entscheidend.
die IT-Systemkauffrau, -en	female IT systems management assistant / фахівець з продажів ІТ-систем (жінка) | Die IT-Systemkauffrau erstellt Angebote für komplexe Server-Infrastrukturen.
der IT-Systemkaufmann, IT-Kaufleute	IT systems management assistant / фахівець з продажів ІТ-систем | Die IT-Systemkaufleute kalkulieren die Lizenzkosten für die neue Enterprise-Software.
die Soft Skills (Pl.)	soft skills / гнучкі навички | Neben technischem Fachwissen sind Soft Skills wie Kommunikationsfähigkeit für Entwickler unverzichtbar.
teamfähig	able to work in a team / здатний працювати в команді | Wir suchen neue Senior-Entwickler, die nicht nur technisch brillant, sondern auch teamfähig sind.
die Teamfähigkeit (Sg.)	ability to work in a team / вміння працювати в команді | Teamfähigkeit ist in agilen Scrum-Teams eine absolute Grundvoraussetzung.
die Umfrage, -n	survey, poll / опитування | Die Ergebnisse der Umfrage unter den Beta-Testern zeigen eine hohe Zufriedenheit mit dem neuen Design.
Wert legen auf (+ Akk.)	to attach importance to / надавати значення | Wir legen großen Wert auf eine saubere Code-Struktur und ausführliche Kommentare.
das Wissensmanagement (Sg.)	knowledge management / управління знаннями | Ein gutes Wissensmanagement im Wiki hilft neuen Kollegen bei der Einarbeitung.
die Zuverlässigkeit (Pl. selten)	reliability / надійність | Die Zuverlässigkeit der Backup-Systeme ist für den Schutz unserer Geschäftsdaten essenziell.
der Arbeitsablauf, "-e	workflow / робочий процес | Durch die Nutzung von CI/CD-Pipelines konnten wir den gesamten Arbeitsablauf automatisieren.
die Automatisierung (Sg.)	automation / автоматизація | Die Automatisierung von Standardaufgaben spart dem DevOps-Team viel Zeit und reduziert Fehler.
etw. ein|führen	to introduce / запроваджувати | Wir wollen im nächsten Monat eine neue Software zur automatischen Fehlersuche einführen.
die Einführung, -en	introduction / запровадження | Die Einführung der neuen Cloud-Plattform verlief reibungsloser als ursprünglich geplant.
etw. fern|steuern	to remote control / керувати дистанційно | Mithilfe von SSH kann man Linux-Server sicher von jedem Ort der Welt aus fernsteuern.
das Fließband, "-er	conveyor belt / конвеєр | In der modernen Software-Entwicklung ähnelt die Build-Pipeline einem digitalen Fließband.
die Informationstechnologie, -n	information technology (IT) / інформаційні технології | Er leitet die Abteilung für Informationstechnologie bei einem mittelständischen Unternehmen.
das Internet der Dinge (Sg.)	Internet of Things (IoT) / інтернет речей | Das Internet der Dinge ermöglicht die Vernetzung von Sensoren direkt mit der Cloud.
der Sprachassistent, -en	voice assistant / голосовий помічник | Unser neuer Sprachassistent nutzt Deep Learning, um Befehle besser zu verstehen.
die Vernetzung, -en	networking / мережування, поєднання | Die intelligente Vernetzung von IT-Systemen schafft völlig neue Möglichkeiten der Zusammenarbeit.
vielfältig	diverse, manifold / різноманітний | Die Einsatzmöglichkeiten von Python sind äußerst vielfältig, von Data Science bis Webentwicklung.
ntroduce	запроваджувати / Wir wollen ein neues System zur Zeiterfassung einführen.
