#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Räumungsfrist, -en;period for evacuation / eviction period;термін виселення (звільнення приміщення);Der Richter **kann dem Mieter eine angemessene Räumungsfrist gewähren**.
die Härtefall, "-e;case of hardship;важкий випадок (особлива скрута);Bei Vorliegen eines Härtefalls **kann die Kündigung der Wohnung unwirksam sein**.
die Härtefallregelung, -en;hardship clause / regulation;правила врегулювання особливих випадків (скрути);Die Härtefallregelung **sieht Ausnahmen von den gesetzlichen Vorschriften vor**.
die Ausnahmeregelung, -en;exceptional regulation / exemption;виняток (особливі правила);Für kleine Handwerksbetriebe **gilt eine Ausnahmeregelung beim Kündigungsschutz**.
die Sonderregelung, -en;special regulation;спеціальне регулювання;Die Sonderregelung **wurde mit dem Personalrat schriftlich vereinbart**.
die Personalrat, "-e;staff council (public sector equivalent of works council);рада трудового колективу (у держсекторі);Der Personalrat **vertritt die Interessen der Beschäftigten im öffentlichen Dienst**.
die Personalvertretungsgesetz (PersVG) (Sg.);Staff Representation Act;закон про представництво інтересів персоналу (PersVG);Das PersVG **regelt die Mitbestimmungsrechte des Personalrats**.
die Mitbestimmungsrecht, -e;right of co-determination;право на співучасть у прийнятті рішень (участь у керівництві);Das Mitbestimmungsrecht **ist ein zentraler Pfeiler der sozialen Partnerschaft**.
die Soziale Partnerschaft;social partnership;соціальне партнерство;Die soziale Partnerschaft **sichert den inneren Frieden in der Wirtschaft**.
die Betriebsfriede (Sg.);industrial peace / peace within the company;внутрішній мир на підприємстві (доброзичлива атмосфера);Die Störung des Betriebsfriedens **kann eine verhaltensbedingte Kündigung rechtfertigen**.
die Arbeitsklima (Sg.);working atmosphere;робоча атмосфера;Ein gutes Arbeitsklima **wirkt sich positiv auf die Gesundheit der Belegschaft aus**.
