#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
die Beseitigung (Sg.);die Beseitigung;removal, elimination;усунення, ліквідація;Die Beseitigung dieses Bugs hat höchste Priorität im Sprint.
die Checkliste, -n;die Checkliste;checklist;чек-лист, контрольний список;Wir haben eine Checkliste für das Deployment auf den Produktions-Server.
das Design, -s;das Design;design;дизайн;Das neue UI-Design sieht sehr modern aus.
effizient;effizient;efficient;ефективний;Dieser Suchalgorithmus ist viel effizienter als der alte.
etw. einstellen (stellt ein, stellte ein, hat eingestellt);einstellen;to set, to adjust, to stop;налаштовувати, припиняти;Wir müssen den Support für den alten Internet Explorer einstellen.
haltbar;haltbar;durable, stable;міцний, довговічний;Hardware für Server muss besonders haltbar sein.
die Haltbarkeit (Sg.);die Haltbarkeit;durability, shelf life;довговічність, термін придатності;Die Haltbarkeit von SSD-Festplatten hängt von den Schreibzyklen ab.
das Image (Sg.);das Image;image, reputation;імідж, репутація;Ein Datenleck würde das Image unserer IT-Firma zerstören.
die Kundenbewertung, -en;die Kundenbewertung;customer review;відгук клієнта;Die App hat eine 5-Sterne-Kundenbewertung im Play Store.
langlebig;langlebig;long-lasting, durable;довговічний;Wir schreiben langlebigen Code, der leicht zu warten ist.
der Mangel, "-;der Mangel;defect, lack, shortage;недолік, дефект, нестача;Es gibt einen großen Mangel an IT-Fachkräften.
die Nachhaltigkeit (Sg.);die Nachhaltigkeit;sustainability;стійкість, екологічність;Nachhaltigkeit in der IT (Green IT) wird immer wichtiger.
das Preis-Leistungs-Verhältnis, -se;das Preis-Leistungs-Verhältnis;price-performance ratio;співвідношення ціни та якості;Der Cloud-Provider hat ein unschlagbares Preis-Leistungs-Verhältnis.
das Qualitätsmanagement (Sg.);das Qualitätsmanagement;quality management;управління якістю;Das Qualitätsmanagement verlangt automatisierte Tests für jedes Release.
das Qualitätsmerkmal, -e;das Qualitätsmerkmal;quality feature;ознака якості;Sauberer Code ist ein wichtiges Qualitätsmerkmal.
die Pauschalreise, -n;die Pauschalreise;package holiday;туристична путівка, пакетний тур;Wir entwickeln ein Buchungssystem für Pauschalreisen.
das Regalbrett, -er;das Regalbrett;shelf board;полиця;Das Regalbrett im Server-Rack muss 50 Kilo aushalten.
die Sägemaschine, -n;die Sägemaschine;sawing machine;пиляльний верстат;Wir programmieren die Steuerungs-Software für eine Sägemaschine.
die Umweltfreundlichkeit (Sg.);die Umweltfreundlichkeit;environmental friendliness;екологічність;Umweltfreundlichkeit ist ein Ziel unseres neuen Rechenzentrums.
wettbewerbsfähig;wettbewerbsfähig;competitive;конкурентоспроможний;Um wettbewerbsfähig zu bleiben, müssen wir KI in unsere Produkte integrieren.
der Zusammenbau (Sg.);der Zusammenbau;assembly;складання, монтаж;Der Zusammenbau der neuen Server dauerte den ganzen Tag.
etw. zusammenbauen (baut zusammen, baute zusammen, hat zusammengebaut);zusammenbauen;to assemble;збирати, монтувати;Der IT-Techniker muss den neuen PC zusammenbauen.
die Arbeitsfläche, -n;die Arbeitsfläche;workspace, work surface;робоча поверхня;Bitte halten Sie Ihre Arbeitsfläche im Büro sauber.
etw. auslösen (z. B. Krankheiten) (löst aus, löste aus, hat ausgelöst);auslösen;to trigger (e.g. diseases);викликати, провокувати;Ein Fehler im Code kann einen Systemausfall auslösen.
die Bakterie, -n;die Bakterie;bacterium;бактерія;Auf Tastaturen sammeln sich oft viele Bakterien.
das Desinfektionsmittel, -;das Desinfektionsmittel;disinfectant;дезінфікуючий засіб;Im Büro-Eingang steht ein Spender mit Desinfektionsmittel.
etw. desinfizieren (desinfiziert, desinfizierte, hat desinfiziert);desinfizieren;to disinfect;дезінфікувати;Du solltest dein Smartphone regelmäßig desinfizieren.
die Dienstkleidung, -en;die Dienstkleidung;workwear, uniform;робочий одяг, уніформа;In unserem Startup gibt es keine Dienstkleidung, nur einen lockeren Dresscode.
der Einmalhandschuh, -e;der Einmalhandschuh;disposable glove;одноразова рукавичка;Für den Austausch der Druckerpatrone nutze ich einen Einmalhandschuh.
etw./jdn. einseifen (seift ein, seifte ein, hat eingeseift);etw.;to soap, to lather;намилювати;Man soll sich die Hände 20 Sekunden lang gut einseifen.
das Fieberthermometer, -;das Fieberthermometer;clinical thermometer;медичний термометр;Das smarte Fieberthermometer synchronisiert die Daten mit unserer App.
der Fingernagel, "-;der Fingernagel;fingernail;ніготь;Die Software analysiert Bilder vom Fingernagel für medizinische Diagnosen.
fließendes Wasser;fließendes Wasser;running water;проточна вода;Waschen Sie die Hände mit Seife unter fließendem Wasser.
der Funktionsraum, "-e;der Funktionsraum;utility room, functional room;технічне приміщення;Der Serverraum ist der wichtigste Funktionsraum im Gebäude.
etw./jdn. gefährden (gefährdet, gefährdete, hat gefährdet);etw.;to endanger;наражати на небезпеку;Ein offener Port kann das gesamte Firmennetzwerk gefährden.
der Hygienebeauftragte, -n / die Hygienebeauftragte, -n;der Hygienebeauftragte;hygiene officer;відповідальний за гігієну;Der Hygienebeauftragte hat neue Corona-Regeln für das Büro erstellt.
der Hygieneplan, "-e;der Hygieneplan;hygiene plan;план санітарних заходів;Der Hygieneplan schreibt vor, dass die Tische täglich gereinigt werden.
die Infektion, -en;die Infektion;infection;інфекція;Unsere Health-App warnt Nutzer vor einer möglichen Infektion.
etw. kontaminieren (kontaminiert, kontaminierte, hat kontaminiert);kontaminieren;to contaminate;забруднювати, заражати;Ein fehlerhaftes Skript hat unsere Datenbank kontaminiert.
der Krankheitserreger, -;der Krankheitserreger;pathogen, germ;збудник хвороби;Wir entwickeln Software, die DNA von Krankheitserregern analysiert.
die Pandemie, -n;die Pandemie;pandemic;пандемія;Während der Pandemie sind viele Entwickler ins Homeoffice gewechselt.
der Pflegebereich, -e;der Pflegebereich;care sector;сфера догляду;Wir schreiben sichere Software für Krankenhäuser und den Pflegebereich.
die Sanitäreinrichtung, -en;die Sanitäreinrichtung;sanitary facility;санітарний вузол;Die Sanitäreinrichtungen im Büro wurden frisch renoviert.
etw./jdn. schützen vor (+ Dat.) (schützt, schützte, hat geschützt);etw.;to protect from;захищати від;Die Firewall soll uns vor DDoS-Angriffen schützen.
der Stuhl (Sg.);der Stuhl;stool (medical) / chair;випорожнення (мед.) / стілець;Das medizinische Labor untersucht den Stuhl des Patienten digital.
die Übertragung, -en;die Übertragung;transmission, transfer;передача (даних/інфекції);Die Übertragung der Daten erfolgt verschlüsselt über HTTPS.
der Urin, -e;der Urin;urine;сеча;Die smarte Toilette kann den Urin automatisch analysieren.
die Verbreitung, -en;die Verbreitung;spread, distribution;поширення;Wir wollen die Verbreitung unserer Open-Source-Software fördern.
etw. verhindern (verhindert, verhinderte, hat verhindert);verhindern;to prevent;запобігати, перешкоджати;Regelmäßige Updates verhindern, dass das System gehackt wird.
das Virus, Viren;das Virus;virus;вірус (комп'ютерний або біологічний);Das Antivirenprogramm hat ein gefährliches Virus blockiert.
der Zwischenraum, "-e;der Zwischenraum;gap, space between;проміжок, зазор;Im Zwischenraum der Tastatur sammelt sich viel Staub.
anregend;anregend;stimulating, inspiring;надихаючий, стимулюючий;Das Gespräch mit dem Software-Architekten war sehr anregend.
Aufgaben erfüllen (erfüllt, erfüllte, hat erfüllt);Aufgaben erfüllen;to fulfill tasks;виконувати завдання;Ein Algorithmus muss genau definierte Aufgaben erfüllen.
ausführlich;ausführlich;detailed, extensive;детальний, докладний;Bitte schreibe einen ausführlichen Kommentar zu diesem Code.
befreiend;befreiend;liberating;визвольний, такий, що приносить полегшення;Es war sehr befreiend, diesen uralten Code endlich zu löschen.
etw./jdn. beurteilen (beurteilt, beurteilte, hat beurteilt);etw.;to assess, to judge;оцінювати, судити;Im Code Review beurteilen wir die Qualität der Lösung.
etw. bewerten (bewertet, bewertete, hat bewertet);bewerten;to evaluate, to rate;оцінювати;Wie würden Sie Ihre eigenen React-Kenntnisse bewerten?
ehrlich;ehrlich;honest(ly);чесний;Sei ehrlich, wenn du einen Bug nicht selbst fixen kannst.
einfühlsam;einfühlsam;empathetic, sensitive;чуйний;Ein guter Scrum Master reagiert einfühlsam auf Teamprobleme.
emotional;emotional;emotional;емоційний;Bitte bleibt bei Diskussionen über Architektur sachlich, nicht emotional.
ernst;ernst;serious(ly);серйозний;Das ist ein sehr ernstes Sicherheitsproblem (Security Issue).
etw. erreichen (erreicht, erreichte, hat erreicht);erreichen;to achieve, to reach;досягати;Zusammen können wir das Ziel des Sprints erreichen.
etw. zur Diskussion stellen (stellt, stellte, hat gestellt);zur Diskussion stellen;to put up for discussion;винести на обговорення;Ich möchte dieses neue Datenbank-Modell zur Diskussion stellen.
Feedback geben (gibt, gab, hat gegeben);Feedback geben;to give feedback;давати зворотний зв'язок;Beim Pair-Programming können wir uns direkt Feedback geben.
das Feedback, -s;das Feedback;feedback;зворотний зв'язок;Das Feedback der Nutzer zur neuen Version war sehr positiv.
Fragen stellen (stellt, stellte, hat gestellt);Fragen stellen;to ask questions;ставити запитання;Zögern Sie nicht, im Interview technische Fragen zu stellen.
die Führungskraft, "-e;die Führungskraft;manager, executive;керівник;Unser CTO ist eine sehr erfahrene Führungskraft.
die Gelegenheit ergreifen (ergreift, ergriff, hat ergriffen);die Gelegenheit ergreifen;to seize the opportunity;скористатися нагодою;Er sollte die Gelegenheit ergreifen und Lead Developer werden.
harmonisch;harmonisch;harmonious;гармонійний;Die Zusammenarbeit im Frontend-Team verläuft sehr harmonisch.
hitzig;hitzig;heated (argument);палкий, гарячий;Es gab eine hitzige Debatte über Tabs vs. Spaces.
in Wut geraten (gerät, geriet, ist geraten);in Wut geraten;to fly into a rage, to get angry;розлютитися;Du darfst nicht in Wut geraten, wenn dein Code abgelehnt wird.
klärend;klärend;clarifying;прояснюючий;Nach dem Konflikt hatten wir ein klärendes Gespräch.
kollegial;kollegial;cooperative, collegial;товариський, колегіальний;Wir haben ein sehr kollegiales Verhältnis im Büro.
die Kooperationsfähigkeit (Sg.);die Kooperationsfähigkeit;ability to cooperate;здатність до співпраці;Kooperationsfähigkeit ist das Wichtigste bei Scrum.
Kritik üben (übt, übte, hat geübt);Kritik üben;to criticize;критикувати;Man darf Kritik üben, aber sie muss immer konstruktiv sein.
die Kundenorientierung (Sg.);die Kundenorientierung;customer orientation;клієнтоорієнтованість;Die Kundenorientierung steht bei der Entwicklung unseres UIs im Fokus.
locker;locker;relaxed, casual;розслаблений, невимушений;Der Tech-Talk am Freitag ist immer sehr locker.
offen;offen;open;відкритий;Wir pflegen eine sehr offene Feedback-Kultur im Startup.
Protokoll führen (führt, führte, hat geführt);Protokoll führen;to take minutes/notes;вести протокол;Wer wird im heutigen Meeting das Protokoll führen?
Vereinbarungen treffen (trifft, traf, hat getroffen);Vereinbarungen treffen;to make agreements;укладати угоди, домовлятися;Wir müssen klare Vereinbarungen über die API-Schnittstelle treffen.
vertraulich;vertraulich;confidential;конфіденційний;Kundendaten müssen immer absolut vertraulich behandelt werden.
das Zielvereinbarungsgespräch, -e;das Zielvereinbarungsgespräch;target agreement discussion;розмова про встановлення цілей;Im Zielvereinbarungsgespräch legen wir meine Boni für das Jahr fest.
zur Sprache kommen (kommt, kam, ist gekommen);zur Sprache kommen;to come up for discussion;бути обговореним, підніматися (про питання);Die schlechte Server-Performance muss heute im Meeting zur Sprache kommen.
die (stationäre) Altenpflege (Sg.);die Altenpflege;inpatient elder care;догляд за літніми людьми;Wir entwickeln eine Verwaltungs-Software für die Altenpflege.
die Arbeitsbelastung, -en;die Arbeitsbelastung;workload;робоче навантаження;Die Arbeitsbelastung ist kurz vor dem Release sehr hoch.
etw. ausgleichen (gleicht aus, glich aus, hat ausgeglichen);ausgleichen;to balance out, to compensate;урівноважувати, компенсувати;Mit Freizeitausgleich können wir Überstunden ausgleichen.
belastend;belastend;burdensome, stressful;обтяжливий, стресовий;Ständige Server-Ausfälle sind sehr belastend für das DevOps-Team.
berechtigt;berechtigt;justified, authorized;обґрунтований, виправданий;Die Kritik am langsamen Ladebildschirm ist völlig berechtigt.
die Betriebsvereinbarung, -en;die Betriebsvereinbarung;company agreement;корпоративна угода;Homeoffice ist bei uns durch eine Betriebsvereinbarung geregelt.
etw. bewilligen (bewilligt, bewilligte, hat bewilligt);bewilligen;to approve, to grant;схвалювати, давати дозвіл;Der Chef hat mein Budget für die AWS-Zertifizierung bewilligt.
destruktiv;destruktiv;destructive;деструктивний;Destruktive Kommentare im Code Review helfen niemandem weiter.
die Einschätzung, -en;die Einschätzung;assessment, evaluation;оцінка, думка;Teilst du meine Einschätzung, dass diese Datenbank zu langsam ist?
sich einschleichen (z. B. ein Fehler hat sich eingeschlichen) (schleicht sich ein, schlich sich ein, hat sich eingeschlichen);sich einschleichen;to creep in;закрадатися (напр., помилка);Nach dem Refactoring hat sich leider ein kleiner Fehler eingeschlichen.
die Entlastung, -en;die Entlastung;relief;розвантаження, полегшення;Automatisierte Tests bringen eine enorme Entlastung für das QA-Team.
jdm. sind die Hände gebunden;jdm. sind die Hände gebunden;one's hands are tied;руки зв'язані;Ich kann das Update nicht machen, mir sind ohne Admin-Rechte die Hände gebunden.
gehetzt;gehetzt;rushed, harried;загнаний, поспішний;Wenn man Code gehetzt schreibt, macht man viele Fehler.
der Gesundheitsschutz (Sg.);der Gesundheitsschutz;health protection;охорона здоров'я;Ergonomische Stühle sind wichtig für den Gesundheitsschutz im IT-Büro.
der Heimleiter, - / die Heimleiterin, -nen;der Heimleiter;care home manager;керівник інтернату;Der Heimleiter schult sein Personal auf unser neues IT-System.
die Leistungsgrenze (Sg.);die Leistungsgrenze;performance limit;межа продуктивності;Der alte Server ist gestern an seine Leistungsgrenze gestoßen.
machtlos;machtlos;powerless;безсилий;Wenn der Cloud-Provider down ist, sind wir leider komplett machtlos.
die Mehrarbeit (Sg.);die Mehrarbeit;extra work, overtime;наднормова робота;Die Mehrarbeit am Wochenende wird finanziell gut vergütet.
peinlich;peinlich;embarrassing;незручний, соромно;Es ist peinlich, wenn die App bei der Präsentation abstürzt.
der Personalmangel (Sg.);der Personalmangel;staff shortage;нестача персоналу;Wegen des Personalmangels suchen wir dringend neue Entwickler.
der Tadel, -;der Tadel;reprimand, blame;догана, осуд;Für diesen kritischen Fehler gab es einen Tadel vom CTO.
jdm. etw. übel nehmen (nimmt, nahm, hat genommen);jdm. etw. übel nehmen;to take offense at, to resent;ображатися на когось;Nimm mir die strenge Code-Kritik bitte nicht übel.
etw. verbergen (verbirgt, verbarg, hat verborgen);verbergen;to hide, to conceal;приховувати;Du solltest deine Fehler im Code niemals vor dem Team verbergen.
versehentlich;versehentlich;accidentally, by mistake;випадково;Ich habe versehentlich die Produktions-Datenbank gelöscht!
etw./jdn. zurückweisen (weist zurück, wies zurück, hat zurückgewiesen);etw.;to reject;відхиляти;Der Senior Developer musste meinen Pull Request leider zurückweisen.
sich etw. abgewöhnen (gewöhnt sich ab, gewöhnte sich ab, hat sich abgewöhnt);sich etw. abgewöhnen;to break the habit of;відвикати;Ich muss mir abgewöhnen, ohne Unit-Tests zu pushen.
sich bemühen um (+ Akk.) (bemüht sich, bemühte sich, hat sich bemüht);sich bemühen um;to strive for, to make an effort;намагатися, докладати зусиль;Ich werde mich bemühen, den Bug bis morgen zu beheben.
die Beziehung, -en;die Beziehung;relationship;відносини, зв'язок;Wir haben eine sehr gute Beziehung zu unseren B2B-Kunden.
etw. erforschen (erforscht, erforschte, hat erforscht);erforschen;to research, to explore;досліджувати;Wir müssen erst erforschen, warum die Server-Last plötzlich ansteigt.
halten von (+ Dat.) (hält, hielt, hat gehalten);halten von;to think of (an opinion);бути якоїсь думки про щось;Was hältst du von dem neuen JavaScript-Framework?
klingen (klingt, klang, hat geklungen);klingen;to sound;звучати;Dein Plan für die Datenmigration klingt sehr gut.
nachgiebig;nachgiebig;yielding, compliant;поступливий;Bei Sicherheitsfragen dürfen wir auf keinen Fall nachgiebig sein.
rotsehen (sieht rot, sah rot, hat rotgesehen);rotsehen;to see red, to lose one's temper;розлютитися (побачити червоне);Wenn jemand meinen Code ohne zu fragen ändert, könnte ich rotsehen.
sanft;sanft;gentle, soft;м'який, ніжний;Der Übergang (Animation) im UI sollte fließend und sanft sein.
schädlich für (+ Akk.);schädlich für;harmful to;шкідливий для;Micro-Management ist sehr schädlich für die Motivation der Entwickler.
das Tabu, -s;das Tabu;taboo;табу;Passwörter im Code (Hardcoding) sind ein absolutes Tabu.
ungewohnt;ungewohnt;unusual, unfamiliar;незвичний;Die Syntax von Python war für mich am Anfang etwas ungewohnt.
verständnisvoll;verständnisvoll;understanding, sympathetic;тямущий, з розумінням;Mein Teamlead reagierte sehr verständnisvoll auf meine Krankheit.
wahnsinnig;wahnsinnig;crazy, insane(ly);божевільний, неймовірно;Die neuen M3-Chips von Apple sind wahnsinnig schnell.
sich zurückziehen von (+ Dat.) (zieht sich zurück, zog sich zurück, hat sich zurückgezogen);sich zurückziehen von;to withdraw from;відсторонятися, відступати;Man darf sich nach Kritik nicht sofort aus dem Team zurückziehen.
etw. abwägen (wägt ab, wog ab, hat abgewogen);abwägen;to weigh up, to consider;зважувати, обмірковувати;Wir müssen die Vor- und Nachteile der neuen API abwägen.
die Arbeitsbedingung, -en;die Arbeitsbedingung;working condition;умова праці;Flexible Arbeitsbedingungen sind sehr wichtig für Entwickler.
der Aspekt, -e;der Aspekt;aspect;аспект;Datensicherheit ist ein wichtiger Aspekt beim Cloud-Computing.
die Auftragsabwicklung, -en;die Auftragsabwicklung;order processing;обробка замовлення;Die App automatisiert die komplette Auftragsabwicklung für den Shop.
der Baustoff, -e;der Baustoff;building material;будівельний матеріал;Wir programmieren eine Logistik-Software für Baustoffe.
etw./jdm. Beachtung schenken;etw.;to pay attention to;приділяти увагу;Wir müssen dem Feedback der User mehr Beachtung schenken.
etw. benötigen (benötigt, benötigte, hat benötigt);benötigen;to need, to require;потребувати;Wir benötigen mehr RAM für diesen Datenbank-Server.
etw. berücksichtigen (berücksichtigt, berücksichtigte, hat berücksichtigt);berücksichtigen;to consider, to take into account;враховувати;Bitte berücksichtigen Sie die Ladezeiten beim mobilen Webdesign.
etw. beschaffen (beschafft, beschaffte, hat beschafft);beschaffen;to procure, to obtain;діставати, закуповувати;Die IT-Abteilung muss dringend neue Monitore beschaffen.
die Beschaffung (Sg.);die Beschaffung;procurement;закупівля, придбання;Die Beschaffung der neuen Server-Hardware dauert drei Wochen.
der Beschaffungsmarkt, "-e;der Beschaffungsmarkt;procurement market;ринок закупівель;Der Beschaffungsmarkt für Mikrochips ist aktuell sehr angespannt.
die Bestandsaufnahme, -n;die Bestandsaufnahme;inventory, taking stock;інвентаризація, оцінка стану;Wir machen eine Bestandsaufnahme unserer Software-Lizenzen.
das CAD-Programm, -e;das CAD-Programm;CAD program;САПР (система автоматизованого проектування);Der Ingenieur nutzt ein CAD-Programm für das 3D-Modell.
der Einfluss, "-e;der Einfluss;influence;вплив;Der Lead Developer hat großen Einfluss auf die IT-Architektur.
Einfluss haben auf (+ Akk.);Einfluss haben auf;to have an influence on;мати вплив на;Die Server-Auslastung hat direkten Einfluss auf die Ladezeit der App.
etw. einkalkulieren (kalkuliert ein, kalkulierte ein, hat einkalkuliert);einkalkulieren;to factor in, to take into account;враховувати (у розрахунках);Wir müssen Pufferzeit für Bugfixes einkalkulieren.
die Fachmesse, -n;die Fachmesse;trade fair;спеціалізована виставка;Wir stellen unser Produkt auf der IT-Fachmesse vor.
das Fertighaus, "-er;das Fertighaus;prefabricated house;збірний будинок;Unser Kunde baut Smart-Home-Systeme für Fertighäuser.
die Fertighausfirma, -firmen;die Fertighausfirma;prefabricated house company;компанія-виробник збірних будинків;Die Fertighausfirma nutzt unsere VR-Software für ihre Kunden.
das Gartengerät, -e;das Gartengerät;garden tool;садовий інструмент;Die App steuert smarte Gartengeräte wie Mähroboter.
geeignet;geeignet;suitable;підходящий, придатний;Python ist sehr geeignet für Data Science und Machine Learning.
global;global;global;глобальний;Wir arbeiten in einem globalen Entwickler-Team.
das Gut, "-er;das Gut;good, commodity, asset;товар, майно;Daten sind das wertvollste Gut in der modernen Wirtschaft.
der Konkurrenzdruck (Sg.);der Konkurrenzdruck;competitive pressure;конкурентний тиск;Der Konkurrenzdruck im E-Commerce-Bereich ist enorm hoch.
die Lagerkapazität, -en;die Lagerkapazität;storage capacity;місткість складу, ємність сховища;Wir müssen die Lagerkapazität unserer Cloud-Datenbank erweitern.
die Liefersicherheit (Sg.);die Liefersicherheit;delivery reliability, security of supply;надійність постачання;Liefersicherheit bei Hardware-Komponenten ist wichtig für das Rechenzentrum.
massiv;massiv;massive(ly);масивний, масштабний;Wir haben massive Probleme mit dem neuen Server-Deployment.
das Material, -ien;das Material;material;матеріал;Wir bestellen neues Material für den 3D-Drucker.
die Menge, -n;die Menge;amount, quantity;кількість, обсяг;Das Python-Skript muss eine riesige Menge an Daten verarbeiten.
die Produktionsunterbrechung, -en;die Produktionsunterbrechung;production interruption, downtime;переривання виробництва, простій;Ein Serverausfall führt zu einer teuren Produktionsunterbrechung.
das Rohmaterial, -ien;das Rohmaterial;raw material;сировина;Unstrukturierte Daten sind das Rohmaterial für KI-Modelle.
sorgen für (+ Akk.) (sorgt, sorgte, hat gesorgt);sorgen für;to ensure, to take care of;піклуватися про, забезпечувати;Der Load Balancer sorgt für eine stabile Server-Performance.
das Steuerbüro, -s;das Steuerbüro;tax consultancy/office;податкове бюро;Unsere Buchhaltungs-Software wird von vielen Steuerbüros genutzt.
die Umweltpolitik (Sg.);die Umweltpolitik;environmental policy;екологічна політика;Green IT ist ein wichtiger Teil unserer Unternehmens-Umweltpolitik.
vertraut sein mit (+ Dat.) (ist, war, ist gewesen);vertraut sein mit;to be familiar with;бути обізнаним з;Bist du mit der Architektur der AWS-Cloud vertraut?
der Zeichentisch, -e;der Zeichentisch;drawing board, drafting table;креслярський стіл;Das Architektur-Startup ersetzt den analogen Zeichentisch durch VR.
die Zollbestimmung, -en;die Zollbestimmung;customs regulation;митне правило;Beim Import der Server aus den USA müssen wir Zollbestimmungen beachten.
Angebote einholen (holt ein, holte ein, hat eingeholt);Angebote einholen;to get/obtain quotes;отримувати пропозиції (цінові);Wir müssen Angebote von drei verschiedenen Cloud-Providern einholen.
jdn. auffordern (fordert auf, forderte auf, hat aufgefordert);auffordern;to request, to ask;закликати, вимагати;Das System wird den User auffordern, sein Passwort zu ändern.
aufmerksam machen auf (+ Akk.) (macht, machte, hat gemacht);aufmerksam machen auf;to draw attention to;звертати увагу на;Ich möchte das Team auf einen kritischen Bug im Code aufmerksam machen.
die Auftragsvergabe, -n;die Auftragsvergabe;award of contract, order placement;розміщення замовлення, укладання контракту;Die Auftragsvergabe für das neue CRM-System erfolgt nächste Woche.
etw. ausrichten (richtet aus, richtete aus, hat ausgerichtet);ausrichten;to pass on (a message);передавати (повідомлення);Können Sie dem IT-Leiter bitte ausrichten, dass ich das Ticket gelöst habe?
etw. entgegennehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen);entgegennehmen;to receive, to accept;приймати (замовлення, дзвінок);Unser Support-Team wird die Fehlermeldungen der User entgegennehmen.
das Kriterium, Kriterien;das Kriterium;criterion;критерій;Server-Performance ist das wichtigste Kriterium bei der Provider-Wahl.
die Lieferfrist, -en;die Lieferfrist;delivery deadline, time for delivery;термін доставки;Die Lieferfrist für die neuen Firmen-Laptops beträgt zwei Wochen.
maßgeblich;maßgeblich;significant, decisive;визначальний, істотний;Ihre Architektur-Entscheidung war maßgeblich für den Projekterfolg.
die Prokura (Sg.);die Prokura;commercial power of attorney;довіреність (на право підпису);Der CTO hat Prokura und darf Software-Lizenzen selbstständig kaufen.
das Türschloss, "-er;das Türschloss;door lock;дверний замок;Wir entwickeln eine Smartphone-App für ein smartes Türschloss.
verbinden mit (+ Dat.) (verbindet, verband, hat verbunden);verbinden mit;to connect with;з'єднувати з;Bitte verbinden Sie mich telefonisch mit dem IT-Support.
verbindlich;verbindlich;binding, obligatory;обов'язковий (до виконання), зобов'язуючий;Das Kostenangebot für das Software-Projekt ist rechtlich verbindlich.
jdn. verweisen auf (+ Akk.) (verweist, verwies, hat verwiesen);verweisen auf;to refer to;відсилати до (когось/чогось);Bei Login-Problemen verweisen wir die User auf unsere FAQ-Seite.
der Wettbewerber, -;der Wettbewerber;competitor;конкурент;Unser größter Wettbewerber hat gestern ein ähnliches Feature gelauncht.
die Zusicherung, -en;die Zusicherung;assurance, guarantee;запевнення, гарантія;Wir brauchen eine schriftliche Zusicherung für die Datensicherheit (DSGVO).
der Abzug, "-e;der Abzug;deduction;відрахування, знижка;Nach Abzug der Steuern bleibt ein gutes Netto-Gehalt für Entwickler.
der Akku, -s;der Akku;battery;акумулятор;Der Akku meines neuen MacBooks hält beim Coden fast 10 Stunden.
ein Angebot unterbreiten (unterbreitet, unterbreitete, hat unterbreitet);ein Angebot unterbreiten;to submit an offer/quote;робити/надавати пропозицію;Wir werden dem Kunden heute ein Angebot für die Webentwicklung unterbreiten.
etw. anlegen (z. B. einen Garten) (legt an, legte an, hat angelegt);anlegen;to create, to set up;створювати (напр. базу даних, обліковий запис);Ich muss einen neuen User-Account in der Datenbank anlegen.
enthalten (enthält, enthielt, hat enthalten);enthalten;to contain, to include;містити в собі;Das neue Software-Update wird viele wichtige Sicherheits-Patches enthalten.
der Ersatzakku, -s;der Ersatzakku;spare battery;запасний акумулятор;Ich nehme einen Ersatzakku für den Laptop auf die Dienstreise mit.
der Erstauftrag, "-e;der Erstauftrag;initial order;перше замовлення;Für unseren Erstauftrag haben wir eine kleine Landingpage entwickelt.
sich erweisen als (erweist sich, erwies sich, hat sich erwiesen);sich erweisen als;to turn out to be, to prove to be;виявлятися (кимось/чимось);Das neue React-Framework hat sich als sehr performant erwiesen.
der Folgeauftrag, "-e;der Folgeauftrag;follow-up order;наступне/повторне замовлення;Nach dem guten MVP-Release haben wir direkt einen Folgeauftrag bekommen.
die Funktionsfähigkeit (Sg.);die Funktionsfähigkeit;functionality, operability;функціональність, працездатність;Die QA testet die Funktionsfähigkeit der neuen App intensiv.
die Gebrauchsweise (Sg.);die Gebrauchsweise;method of use, instructions for use;спосіб використання;Die Gebrauchsweise unserer API ist in der Dokumentation beschrieben.
die Gesamtbestellung (Sg.);die Gesamtbestellung;total order;загальне замовлення;Die Gesamtbestellung für die Server-Hardware kostet 50.000 Euro.
der Gesamtpreis, -e;der Gesamtpreis;total price;загальна вартість;Der Gesamtpreis für das Software-Projekt liegt genau im Budget.
kostengünstig;kostengünstig;cost-effective, cheap;вигідний за ціною, недорогий;AWS bietet auch sehr kostengünstige Speicherlösungen (S3) an.
die Marktchancen (Pl.);die Marktchancen;market opportunities;ринкові можливості;Die Marktchancen für KI-basierte Tools sind aktuell riesig.
nachteilig;nachteilig;disadvantageous, detrimental;невигідний, шкідливий;Schlechter Code wirkt sich nachteilig auf die Server-Performance aus.
optional;optional;optional;опціональний, необов'язковий;Die Angabe der Telefonnummer im Registrierungsformular ist optional.
der Skonto (Sg.);der Skonto;cash discount;сконто (знижка за швидку оплату);Wenn wir die Server sofort bezahlen, bekommen wir 2% Skonto.
der Sonderpreis, -e;der Sonderpreis;special price;спеціальна ціна;Zum Black Friday bieten wir unsere Software zum Sonderpreis an.
standardmäßig;standardmäßig;standard, by default;за замовчуванням, стандартно;Die Verschlüsselung der Passwörter ist im System standardmäßig aktiviert.
der Stückpreis, -e;der Stückpreis;unit price;ціна за штуку;Der Stückpreis für Firmen-Laptops sinkt bei einer Großbestellung.
einen Termin einhalten (hält ein, hielt ein, hat eingehalten);einen Termin einhalten;to meet a deadline;дотримуватися терміну;Wir müssen den Termin für das Produktions-Release unbedingt einhalten.
üblicherweise;üblicherweise;usually, typically;зазвичай;Üblicherweise deployen wir am Freitag keinen neuen Code.
